frame_index,frame_number_1based,integrated_time_s,raw_std
0,1,0.013783,0.257996
1,2,0.027566,0.329690
2,3,0.041350,0.160032
3,4,0.055133,0.228702
4,5,0.068916,0.375942
5,6,0.082699,0.434827
6,7,0.096482,0.242425
7,8,0.110265,0.288502
8,9,0.124049,0.493004
9,10,0.137832,0.133480
10,11,0.151615,0.252923
11,12,0.165398,0.287541
12,13,0.179181,0.188489
13,14,0.192964,0.294943
14,15,0.206748,0.203938
15,16,0.220531,0.395283
16,17,0.234314,0.254919
17,18,0.248097,0.231319
18,19,0.261880,0.555822
19,20,0.275663,0.466433
20,21,0.289447,0.291523
21,22,0.303230,0.328528
22,23,0.317013,0.404806
23,24,0.330796,0.279065
24,25,0.344579,0.304147
25,26,0.358362,0.491616
26,27,0.372146,0.312964
27,28,0.385929,0.333149
28,29,0.399712,0.491644
29,30,0.413495,0.233141
30,31,0.427278,0.387122
31,32,0.441062,0.308896
32,33,0.454845,0.180492
33,34,0.468628,0.280134
34,35,0.482411,0.329987
35,36,0.496194,0.225840
36,37,0.509977,0.356104
37,38,0.523761,0.487294
38,39,0.537544,0.338784
39,40,0.551327,0.326351
40,41,0.565110,0.365070
41,42,0.578893,0.226669
42,43,0.592676,0.248402
43,44,0.606460,0.266292
44,45,0.620243,0.482722
45,46,0.634026,0.145629
46,47,0.647809,0.737073
47,48,0.661592,0.367756
48,49,0.675375,0.177363
49,50,0.689159,0.279855
50,51,0.702942,0.282240
51,52,0.716725,0.222881
52,53,0.730508,0.329925
53,54,0.744291,0.187102
54,55,0.758074,0.295110
55,56,0.771858,0.330204
56,57,0.785641,0.271706
57,58,0.799424,0.245343
58,59,0.813207,0.532833
59,60,0.826990,0.248667
60,61,0.840774,0.265790
61,62,0.854557,0.293104
62,63,0.868340,0.276761
63,64,0.882123,0.211418
64,65,0.895906,0.234336
65,66,0.909689,0.445020
66,67,0.923473,0.190485
67,68,0.937256,0.333661
68,69,0.951039,0.548038
69,70,0.964822,0.281219
70,71,0.978605,0.105483
71,72,0.992388,0.325586
72,73,1.006172,0.370586
73,74,1.019955,0.195692
74,75,1.033738,0.342079
75,76,1.047521,0.209944
76,77,1.061304,0.244572
77,78,1.075087,0.207218
78,79,1.088871,0.376648
79,80,1.102654,0.418318
80,81,1.116437,0.380520
81,82,1.130220,0.193991
82,83,1.144003,0.253492
83,84,1.157786,0.331094
84,85,1.171570,0.219490
85,86,1.185353,0.358665
86,87,1.199136,0.412662
87,88,1.212919,0.323305
88,89,1.226702,0.389954
89,90,1.240485,0.231511
90,91,1.254269,0.426654
91,92,1.268052,0.156404
92,93,1.281835,0.328808
93,94,1.295618,0.577647
94,95,1.309401,0.186975
95,96,1.323185,0.306786
96,97,1.336968,0.446149
97,98,1.350751,0.125651
98,99,1.364534,0.245332
99,100,1.378317,0.132946
100,101,1.392100,0.257448
101,102,1.405884,0.404539
102,103,1.419667,0.225709
103,104,1.433450,0.343568
104,105,1.447233,0.380748
105,106,1.461016,0.373609
106,107,1.474799,0.396043
107,108,1.488583,0.244969
108,109,1.502366,0.403963
109,110,1.516149,0.483937
110,111,1.529932,0.303512
111,112,1.543715,0.166039
112,113,1.557498,0.262796
113,114,1.571282,0.402871
114,115,1.585065,0.417739
115,116,1.598848,0.113269
116,117,1.612631,0.316831
117,118,1.626414,0.263087
118,119,1.640197,0.439005
119,120,1.653981,0.297065
120,121,1.667764,0.323712
121,122,1.681547,0.331550
122,123,1.695330,0.289604
123,124,1.709113,0.364542
124,125,1.722897,0.671830
125,126,1.736680,0.211840
126,127,1.750463,0.187427
127,128,1.764246,0.400867
128,129,1.778029,0.549001
129,130,1.791812,0.431952
130,131,1.805596,0.388766
131,132,1.819379,0.260022
132,133,1.833162,0.277014
133,134,1.846945,0.238775
134,135,1.860728,0.173924
135,136,1.874511,0.370676
136,137,1.888295,0.210229
137,138,1.902078,0.291474
138,139,1.915861,0.308054
139,140,1.929644,0.231958
140,141,1.943427,0.433720
141,142,1.957210,0.346953
142,143,1.970994,0.354358
143,144,1.984777,0.229825
144,145,1.998560,0.171452
145,146,2.012343,0.408365
146,147,2.026126,0.166721
147,148,2.039909,0.551153
148,149,2.053693,0.365351
149,150,2.067476,0.237210
150,151,2.081259,0.301943
151,152,2.095042,0.185134
152,153,2.108825,0.287232
153,154,2.122609,0.268518
154,155,2.136392,0.258922
155,156,2.150175,0.426460
156,157,2.163958,0.276866
157,158,2.177741,0.282922
158,159,2.191524,0.264426
159,160,2.205308,0.363374
160,161,2.219091,0.382993
161,162,2.232874,0.392557
162,163,2.246657,0.215750
163,164,2.260440,0.197318
164,165,2.274223,0.445576
165,166,2.288007,0.333565
166,167,2.301790,0.437793
167,168,2.315573,0.194965
168,169,2.329356,0.360608
169,170,2.343139,0.534396
170,171,2.356922,0.312822
171,172,2.370706,0.156304
172,173,2.384489,0.206166
173,174,2.398272,0.382509
174,175,2.412055,0.200394
175,176,2.425838,0.274074
176,177,2.439621,0.355320
177,178,2.453405,0.472634
178,179,2.467188,0.147037
179,180,2.480971,0.484521
180,181,2.494754,0.190926
181,182,2.508537,0.225252
182,183,2.522321,0.335716
183,184,2.536104,0.246840
184,185,2.549887,0.476181
185,186,2.563670,0.233021
186,187,2.577453,0.421994
187,188,2.591236,0.481708
188,189,2.605020,0.211491
189,190,2.618803,0.438619
190,191,2.632586,0.332894
191,192,2.646369,0.369390
192,193,2.660152,0.269795
193,194,2.673935,0.264967
194,195,2.687719,0.198224
195,196,2.701502,0.410654
196,197,2.715285,0.380176
197,198,2.729068,0.369983
198,199,2.742851,0.283595
199,200,2.756634,0.244190
200,201,2.770418,0.146581
201,202,2.784201,0.137555
202,203,2.797984,0.468257
203,204,2.811767,0.333441
204,205,2.825550,0.258571
205,206,2.839333,0.336214
206,207,2.853117,0.488070
207,208,2.866900,0.134679
208,209,2.880683,0.363012
209,210,2.894466,0.234677
210,211,2.908249,0.363626
211,212,2.922033,0.164981
212,213,2.935816,0.183509
213,214,2.949599,0.670373
214,215,2.963382,0.506643
215,216,2.977165,0.221846
216,217,2.990948,0.342089
217,218,3.004732,0.275877
218,219,3.018515,0.286139
219,220,3.032298,0.500063
220,221,3.046081,0.181921
221,222,3.059864,0.516613
222,223,3.073647,0.408544
223,224,3.087431,0.127890
224,225,3.101214,0.388011
225,226,3.114997,0.208190
226,227,3.128780,0.337150
227,228,3.142563,0.342422
228,229,3.156346,0.256414
229,230,3.170130,0.328360
230,231,3.183913,0.240221
231,232,3.197696,0.396012
232,233,3.211479,0.398114
233,234,3.225262,0.249507
234,235,3.239045,0.187608
235,236,3.252829,0.106839
236,237,3.266612,0.247951
237,238,3.280395,0.450311
238,239,3.294178,0.211162
239,240,3.307961,0.175278
240,241,3.321744,0.339066
241,242,3.335528,0.407203
242,243,3.349311,0.387402
243,244,3.363094,0.344429
244,245,3.376877,0.471945
245,246,3.390660,0.454896
246,247,3.404444,0.199519
247,248,3.418227,0.407489
248,249,3.432010,0.271378
249,250,3.445793,0.307688
250,251,3.459576,0.366558
251,252,3.473359,0.283124
252,253,3.487143,0.175079
253,254,3.500926,0.329131
254,255,3.514709,0.184300
255,256,3.528492,0.464218
256,257,3.542275,0.311511
257,258,3.556058,0.265771
258,259,3.569842,0.232553
259,260,3.583625,0.285389
260,261,3.597408,0.334187
261,262,3.611191,0.445279
262,263,3.624974,0.155192
263,264,3.638757,0.193154
264,265,3.652541,0.272994
265,266,3.666324,0.410622
266,267,3.680107,0.166975
267,268,3.693890,0.444264
268,269,3.707673,0.236175
269,270,3.721456,0.159098
270,271,3.735240,0.201642
271,272,3.749023,0.367009
272,273,3.762806,0.336593
273,274,3.776589,0.288712
274,275,3.790372,0.425480
275,276,3.804156,0.295022
276,277,3.817939,0.298164
277,278,3.831722,0.324882
278,279,3.845505,0.246579
279,280,3.859288,0.228305
280,281,3.873071,0.501035
281,282,3.886855,0.309436
282,283,3.900638,0.104280
283,284,3.914421,0.318245
284,285,3.928204,0.182987
285,286,3.941987,0.231955
286,287,3.955770,0.361350
287,288,3.969554,0.192545
288,289,3.983337,0.171393
289,290,3.997120,0.338377
290,291,4.010903,0.173205
291,292,4.024686,0.416150
