P_mW,Tmax_K,Tavg_K,DeltaTmax_K
1,293.022592620806,293.000139358147,0.0225926208058809
2,293.045185241612,293.000278716293,0.0451852416118186
3,293.067777862418,293.000418074441,0.0677778624176995
4,293.090370483224,293.000557432589,0.0903704832235803
5,293.112963104029,293.000696790735,0.112963104029461
6,293.135555724835,293.000836148882,0.135555724835399
7,293.158148345641,293.00097550703,0.15814834564128
8,293.180740966447,293.001114865177,0.180740966447161
9,293.203333587253,293.001254223325,0.203333587253098
10,293.225926208059,293.001393581471,0.225926208058979
11,293.248518828865,293.001532939618,0.24851882886486
12,293.271111449671,293.001672297766,0.271111449670741
13,293.293704070477,293.001811655912,0.293704070476679
14,293.316296691283,293.00195101406,0.31629669128256
15,293.338889312088,293.002090372207,0.33888931208844
16,293.361481932894,293.002229730353,0.361481932894378
17,293.3840745537,293.002369088501,0.384074553700259
18,293.406667174506,293.002508446648,0.40666717450614
19,293.429259795312,293.002647804794,0.429259795312021
20,293.451852416118,293.002787162942,0.451852416117958
21,293.474445036924,293.002926521089,0.474445036923839
22,293.49703765773,293.003065879236,0.49703765772972
23,293.519630278536,293.003205237383,0.519630278535601
24,293.542222899342,293.003344595531,0.542222899341539
25,293.564815520147,293.003483953677,0.56481552014742
26,293.587408140953,293.003623311825,0.587408140953301
27,293.610000761759,293.003762669971,0.610000761759238
28,293.632593382565,293.003902028119,0.632593382565119
29,293.655186003371,293.004041386265,0.655186003371
30,293.677778624177,293.004180744413,0.677778624176881
31,293.700371244983,293.00432010256,0.700371244982819
32,293.722963865789,293.004459460707,0.722963865788699
33,293.745556486595,293.004598818855,0.74555648659458
34,293.768149107401,293.004738177001,0.768149107400518
35,293.790741728206,293.004877535149,0.790741728206399
36,293.813334349012,293.005016893295,0.81333434901228
37,293.835926969818,293.005156251443,0.835926969818161
38,293.858519590624,293.00529560959,0.858519590624098
39,293.88111221143,293.005434967737,0.881112211429979
40,293.903704832236,293.005574325884,0.90370483223586
41,293.926297453042,293.005713684031,0.926297453041741
42,293.948890073848,293.005853042179,0.948890073847679
43,293.971482694654,293.005992400325,0.97148269465356
44,293.994075315459,293.006131758472,0.99407531545944
45,294.016667936265,293.006271116618,1.01666793626538
46,294.039260557071,293.006410474766,1.03926055707126
47,294.061853177877,293.006549832914,1.06185317787714
48,294.084445798683,293.00668919106,1.08444579868302
49,294.107038419489,293.006828549207,1.10703841948896
50,294.129631040295,293.006967907354,1.12963104029484
51,294.152223661101,293.007107265502,1.15222366110072
52,294.174816281907,293.007246623649,1.17481628190666
53,294.197408902713,293.007385981796,1.19740890271254
54,294.220001523518,293.007525339944,1.22000152351842
55,294.242594144324,293.00766469809,1.2425941443243
56,294.26518676513,293.007804056237,1.26518676513024
57,294.287779385936,293.007943414384,1.28777938593612
58,294.310372006742,293.008082772532,1.310372006742
59,294.332964627548,293.008222130678,1.33296462754788
60,294.355557248354,293.008361488825,1.35555724835382
61,294.37814986916,293.008500846973,1.3781498691597
62,294.400742489966,293.00864020512,1.40074248996558
63,294.423335110772,293.008779563267,1.42333511077152
64,294.445927731577,293.008918921415,1.4459277315774
65,294.468520352383,293.009058279561,1.46852035238328
66,294.491112973189,293.009197637708,1.49111297318916
67,294.513705593995,293.009336995855,1.5137055939951
68,294.536298214801,293.009476354002,1.53629821480098
69,294.558890835607,293.00961571215,1.55889083560686
70,294.581483456413,293.009755070297,1.5814834564128
71,294.604076077219,293.009894428444,1.60407607721868
72,294.626668698025,293.010033786591,1.62666869802456
73,294.64926131883,293.010173144738,1.64926131883044
74,294.671853939636,293.010312502885,1.67185393963638
75,294.694446560442,293.010451861032,1.69444656044226
76,294.717039181248,293.01059121918,1.71703918124814
77,294.739631802054,293.010730577326,1.73963180205402
78,294.76222442286,293.010869935473,1.76222442285996
79,294.784817043666,293.01100929362,1.78481704366584
80,294.807409664472,293.011148651769,1.80740966447172
81,294.830002285278,293.011288009914,1.83000228527766
82,294.852594906084,293.011427368061,1.85259490608354
83,294.875187526889,293.011566726209,1.87518752688942
84,294.897780147695,293.011706084355,1.8977801476953
85,294.920372768501,293.011845442504,1.92037276850124
86,294.942965389307,293.01198480065,1.94296538930712
87,294.965558010113,293.012124158798,1.965558010113
88,294.988150630919,293.012263516945,1.98815063091894
89,295.010743251725,293.012402875092,2.01074325172482
90,295.033335872531,293.012542233239,2.0333358725307
91,295.055928493337,293.012681591386,2.05592849333658
92,295.078521114143,293.012820949533,2.07852111414252
93,295.101113734948,293.012960307679,2.1011137349484
94,295.123706355754,293.013099665827,2.12370635575428
95,295.14629897656,293.013239023974,2.14629897656022
96,295.168891597366,293.013378382121,2.1688915973661
97,295.191484218172,293.013517740268,2.19148421817198
98,295.214076838978,293.013657098415,2.21407683897786
99,295.236669459784,293.013796456562,2.2366694597838
100,295.25926208059,293.013935814709,2.25926208058968
