wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
600,-303.05670764980624,2893978.383577325,90815.00501967524,2984793.3885970004,450795.7662286046,80.23818060161999,82.75610529292413
601,-301.7993421866201,2891586.004755344,90674.0975117974,2982260.102267141,500044.6721071955,80.17184982776489,82.68586773316301
602,-300.503339991634,2888758.0397023465,90463.4313323587,2979221.471034705,583611.407458923,80.09344204869014,82.60161904797768
603,-299.17110344286397,2885513.754397141,90183.9213153013,2975697.675712442,663980.6888537304,80.00349143038967,82.50391876795867
604,-297.8050349183259,2881872.710184648,89906.23221960403,2971778.942404252,741059.2902202377,79.90254032814322,82.39526849011544
605,-296.40753679603586,2877854.7650504117,89630.34529749557,2967485.110347907,814752.8549918799,79.791139321852,82.27621827457527
606,-294.9810114540099,2873480.074895091,89356.24202856401,2962836.316923655,884965.8888724372,79.66984725137394,82.14732644772586
607,-293.52786127026394,2868769.094808967,89083.90412096995,2957852.998929937,951601.7525806373,79.53923125185942,82.00915963758462
608,-292.05048862281393,2863742.5803464414,88813.31361978012,2952555.8939662213,1014562.6545747814,79.39986678908677,81.86229281213794
609,-290.55129588967594,2858421.5888005407,88544.45263867246,2946966.0414392133,1073749.6437573626,79.25233769479772,81.70730930723833
610,-289.03268544886595,2852827.480477413,88277.30361381476,2941104.7840912277,1129062.6021591858,79.09723620203317,81.54480086897871
611,-287.49705967840003,2846981.9199708323,88011.84930121269,2934993.7692720448,1180400.237603257,78.93516298046862,81.37536768895497
612,-285.94682095629406,2840906.8774366984,87748.07254342597,2928654.9499801244,1227660.0763480624,78.76672717174989,81.19961843313342
613,-284.38437166056417,2834624.6298675383,87485.95652522416,2922110.5863927626,1270738.4557110497,78.59254642482875,81.01817028427496
614,-282.8121141692262,2828157.762367006,87225.48461813944,2915383.2469851454,1309530.5166716697,78.41324693129862,80.8316489729608
615,-281.23245086029624,2821529.169424386,86966.64032872593,2908495.809753112,1343930.1964536181,78.22946346073022,80.64068881149386
616,-279.6477841117903,2814762.056189094,86709.40752924814,2901471.463718342,1373830.2210879845,78.04183939600746,80.4459327356305
617,-278.0605163017243,2807879.939745175,86453.77016777589,2894333.709912951,1399122.0979548192,77.8510267686631,80.2480323318786
618,-276.4730498081143,2800906.6503858096,86199.71243203878,2887106.3628178486,1419696.108304963,77.65768629421473,80.04764787737642
619,-274.8877870089763,2793866.3328878097,85947.21884091725,2879813.551728727,1435441.2997620213,77.46248740750056,79.8454483777653
620,-273.3071302823264,2786783.447786124,85696.27393910564,2872479.7217252296,1446245.478803524,77.26610829801548,79.64211159405987
621,-271.7334820061804,2779682.7726483354,85446.86258385748,2865129.635232193,1451995.2032216254,77.06923594524696,79.43832408593444
622,-270.16924455855434,2772589.4033491653,85198.96977052343,2857788.3731196886,1452575.7745637363,76.87256615401135,79.23478124222206
623,-268.6168203174643,2765528.7553449734,84952.58062403122,2850481.335969005,1447871.2305535588,76.67680358979001,79.03218731601454
624,-267.07861166092624,2758526.5649482585,84707.68070625393,2843234.245654512,1437764.337490795,76.48266181406552,78.83125546852075
625,-265.55702096695615,2751608.8906021593,84464.25554724166,2836073.146149401,1422136.5826308802,76.2908633196583,78.63270779140616
626,-264.05445061357005,2744802.114154958,84222.290771385,2829024.4049263434,1400868.1665449245,76.10213956606296,78.43727534562727
627,-262.57330297878394,2738132.9421345782,83981.77240768907,2822114.7145422674,1373837.9954588711,75.91723101478505,78.24569820537094
628,-261.1159804406137,2731628.407023086,83742.68668825625,2815371.0937113427,1340923.6735721277,75.73688716467785,78.05872548780393
629,-259.68488537707555,2725315.8685311973,83505.01982346571,2808820.888354663,1302001.4953567088,75.56186658727952,77.87711538217651
630,-258.2824201661854,2719223.01487277,83268.75822216716,2802491.773094937,1257512.6721105631,75.3929369621499,77.70163519126469
631,-256.9104763326702,2713372.4686374962,83033.88861237111,2796406.357249867,1211092.926365618,75.23072552003802,77.53291177787564
632,-255.5680965312451,2707756.93108644,82800.39773489622,2790557.3288213364,1167027.027014224,75.07502989703826,77.37074241047443
633,-254.25333622568238,2702358.492236986,82568.27260681178,2784926.764843798,1126498.762216085,74.92535352336658,77.21463015929123
634,-252.9642499152502,2697158.979823694,82337.50036486179,2779496.480188556,1089598.7528942013,74.78119255723043,77.06407082586502
635,-251.69889209921675,2692139.9684205814,82108.06822814062,2774248.036648722,1056417.560122767,74.64203613775143,76.91855319493128
636,-250.45531727685014,2687282.7784089944,81879.963740151,2769162.7421491453,1027046.7671565309,74.50736635634841,76.77755901251639
637,-249.2315799474184,2682568.474945493,81653.17443003571,2764221.6493755286,1001578.9856072089,74.37665822812075,76.64056294792843
638,-248.02573461018972,2677977.8669297304,81427.68803807515,2759405.5549678057,980107.8616368808,74.24937966323165,76.50703257139257
639,-246.8358357644322,2673491.505972333,81203.4925626601,2754694.998534993,962728.0821679025,74.1249914382915,76.37642832673671
640,-245.65993790941394,2669089.685362778,80980.57597261526,2750070.2613353934,949535.3811085534,74.00294716774117,76.24820349479889
641,-244.4960955444031,2664752.4390372764,80758.92644784655,2745511.365485123,940626.5455957985,73.88269327523552,76.12180417148278
642,-243.34236316866773,2660459.5405466496,80538.53242670873,2740998.0729733584,936099.4222542399,73.76366896502681,75.99666924045462
643,-242.19679528147594,2656190.502024211,80319.38225911239,2736509.8842833233,936052.9234711445,73.64530619334829,75.8722303349088
644,-241.05744638209592,2651924.5731536467,80101.46458233419,2732026.037735981,940587.0336885457,73.52702963979797,75.74791181937123
645,-239.92237096979576,2647640.7401368935,79884.7683048514,2727525.508441745,949802.8157115602,73.40825667872211,75.62313076063468
646,-238.78962354384353,2643317.724662018,79669.2822014735,2722987.0068634916,963802.4170326092,73.28839735059917,75.49729688791749
647,-237.65725860350736,2638933.9828711,79454.99521955375,2718388.9780906537,982519.7397556498,73.16685433342366,75.36981257273719
648,-236.5234679875614,2634469.234056665,79241.89657629185,2713711.130632957,1004243.227528634,73.04306532713186,75.24011521603643
649,-235.38776651079243,2629917.730019888,79029.9756393414,2708947.7056592293,1026455.8735274447,72.91687095798456,75.10804514927528
650,-234.25040834174757,2625281.9412922543,78819.22169002771,2704101.1629822818,1048223.4217119946,72.78833972362008,74.97367057290998
