pair,averaging_frames,tau_s,allan_deviation,allan_variance,overlapping_terms,deviation_unit
"(7,6)-(8,7)",1,0.013783172186792841,39.636447109791014,1571.0479394872602,85444,urad^2
"(7,6)-(8,7)",2,0.027566344373585683,30.961040395427958,958.5860223673217,85442,urad^2
"(7,6)-(8,7)",3,0.041349516560378524,29.91076030710302,894.6535821489695,85440,urad^2
"(7,6)-(8,7)",4,0.055132688747171366,31.79102554116169,1010.6693049587949,85438,urad^2
"(7,6)-(8,7)",5,0.06891586093396421,35.01972363074248,1226.3810431735833,85436,urad^2
"(7,6)-(8,7)",6,0.08269903312075705,38.90250630807671,1513.4049970499484,85434,urad^2
"(7,6)-(8,7)",7,0.09648220530754989,43.08629018563469,1856.4284019607198,85432,urad^2
"(7,6)-(8,7)",9,0.12404854968113557,51.83786487900839,2687.164235214332,85428,urad^2
"(7,6)-(8,7)",10,0.13783172186792841,56.25840066123183,3165.0076449596904,85426,urad^2
"(7,6)-(8,7)",11,0.15161489405472126,60.658266356631216,3679.425277392019,85424,urad^2
"(7,6)-(8,7)",13,0.17918123842830694,69.31426004796424,4804.466645996811,85420,urad^2
"(7,6)-(8,7)",15,0.20674758280189262,77.69374334779523,6036.317755393076,85416,urad^2
"(7,6)-(8,7)",18,0.24809709936227115,89.61063853787775,8030.0665391661805,85410,urad^2
"(7,6)-(8,7)",20,0.27566344373585683,97.08086246158753,9424.693856285674,85406,urad^2
"(7,6)-(8,7)",23,0.3170129602962354,107.55367692629048,11567.793420364867,85400,urad^2
"(7,6)-(8,7)",27,0.37214564904340675,120.15215885965321,14436.541278635343,85392,urad^2
"(7,6)-(8,7)",31,0.4272783377905781,131.25263392242536,17227.253911574207,85384,urad^2
"(7,6)-(8,7)",36,0.4961941987245423,143.18865219814975,20502.990118322698,85374,urad^2
"(7,6)-(8,7)",41,0.5651100596585065,153.21052736638626,23473.465695886192,85364,urad^2
"(7,6)-(8,7)",47,0.6478090927792636,163.08958800596852,26598.213715956554,85352,urad^2
"(7,6)-(8,7)",54,0.7442912980868135,172.20846243540714,29655.754534367028,85338,urad^2
"(7,6)-(8,7)",62,0.8545566755811562,180.19103466846403,32468.808974891603,85322,urad^2
"(7,6)-(8,7)",72,0.9923883974490846,187.57576584602623,35184.667932723256,85302,urad^2
"(6,5)-(8,7)",1,0.013783172186792841,45.044951555591155,2029.0476606455543,85444,urad^2
"(6,5)-(8,7)",2,0.027566344373585683,34.21908679327049,1170.9459009653792,85442,urad^2
"(6,5)-(8,7)",3,0.041349516560378524,31.46928033018741,990.3156044999203,85440,urad^2
"(6,5)-(8,7)",4,0.055132688747171366,31.91088699444396,1018.3047087721726,85438,urad^2
"(6,5)-(8,7)",5,0.06891586093396421,33.9356045020659,1151.6252529206354,85436,urad^2
"(6,5)-(8,7)",6,0.08269903312075705,36.81685376204366,1355.4807209357082,85434,urad^2
"(6,5)-(8,7)",7,0.09648220530754989,40.159545963696004,1612.789132010212,85432,urad^2
"(6,5)-(8,7)",9,0.12404854968113557,47.490214031826596,2255.3204287886997,85428,urad^2
"(6,5)-(8,7)",10,0.13783172186792841,51.28809289571147,2630.4684728791294,85426,urad^2
"(6,5)-(8,7)",11,0.15161489405472126,55.09419773193183,3035.370623725202,85424,urad^2
"(6,5)-(8,7)",13,0.17918123842830694,62.623018075718235,3921.642392911733,85420,urad^2
"(6,5)-(8,7)",15,0.20674758280189262,69.94259916380906,4891.9671777892645,85416,urad^2
"(6,5)-(8,7)",18,0.24809709936227115,80.39202095820838,6462.877033745014,85410,urad^2
"(6,5)-(8,7)",20,0.27566344373585683,86.96219067543825,7562.42260707128,85406,urad^2
"(6,5)-(8,7)",23,0.3170129602962354,96.20576458992669,9255.549140332392,85400,urad^2
"(6,5)-(8,7)",27,0.37214564904340675,107.38743805855034,11532.061852778988,85392,urad^2
"(6,5)-(8,7)",31,0.4272783377905781,117.30964201466803,13761.552109609567,85384,urad^2
"(6,5)-(8,7)",36,0.4961941987245423,128.0578360212073,16398.80936643442,85374,urad^2
"(6,5)-(8,7)",41,0.5651100596585065,137.161031143404,18813.148464321843,85364,urad^2
"(6,5)-(8,7)",47,0.6478090927792636,146.23757256364806,21385.42762930823,85352,urad^2
"(6,5)-(8,7)",54,0.7442912980868135,154.77124325357707,23954.137738257923,85338,urad^2
"(6,5)-(8,7)",62,0.8545566755811562,162.47410274732962,26397.834063549824,85322,urad^2
"(6,5)-(8,7)",72,0.9923883974490846,169.9712791992509,28890.235752629695,85302,urad^2
"(7,5)-(8,6)",1,0.013783172186792841,38.21339006529867,1460.2631802826668,85444,urad^2
"(7,5)-(8,6)",2,0.027566344373585683,27.93762756006891,780.5110336851219,85442,urad^2
"(7,5)-(8,6)",3,0.041349516560378524,24.219055088757507,586.5626293922709,85440,urad^2
"(7,5)-(8,6)",4,0.055132688747171366,22.90421944344959,524.6032683136942,85438,urad^2
"(7,5)-(8,6)",5,0.06891586093396421,22.88991798864414,523.9483455268545,85436,urad^2
"(7,5)-(8,6)",6,0.08269903312075705,23.623678292704252,558.0781760771861,85434,urad^2
"(7,5)-(8,6)",7,0.09648220530754989,24.828094464611574,616.4342747436759,85432,urad^2
"(7,5)-(8,6)",9,0.12404854968113557,28.035039499051663,785.963439713387,85428,urad^2
"(7,5)-(8,6)",10,0.13783172186792841,29.8462854657772,890.8007561046633,85426,urad^2
"(7,5)-(8,6)",11,0.15161489405472126,31.725788555886755,1006.5256594928351,85424,urad^2
"(7,5)-(8,6)",13,0.17918123842830694,35.56897497550605,1265.1519808081757,85420,urad^2
"(7,5)-(8,6)",15,0.20674758280189262,39.405460897417115,1552.7903485378692,85416,urad^2
"(7,5)-(8,6)",18,0.24809709936227115,44.99067853330978,2024.1611548876217,85410,urad^2
"(7,5)-(8,6)",20,0.27566344373585683,48.54639150034349,2356.7521277046226,85406,urad^2
