pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(7,2)-(8,3)",1,0.013783172186776937,64.19324234169325,8.01206854324732,120321,urad^4
"(1,3)-(6,8)",1,0.013783172186776937,285.7144971970559,16.90309135031388,120321,urad^4
"(2,3)-(7,8)",1,0.013783172186776937,244.82788588500603,15.64697689283799,120321,urad^4
"(6,1)-(8,3)",1,0.013783172186776937,173.73228237710893,13.18075424158682,120321,urad^4
"(2,2)-(8,8)",1,0.013783172186776937,175.35435959033865,13.242143315579192,120321,urad^4
"(1,2)-(7,8)",1,0.013783172186776937,195.9852603222423,13.999473573039891,120321,urad^4
"(7,1)-(8,2)",1,0.013783172186776937,77.04839522618592,8.777721528174947,120321,urad^4
"(3,1)-(8,6)",1,0.013783172186776937,292.46811870049333,17.10169929277478,120321,urad^4
"(3,2)-(8,7)",1,0.013783172186776937,254.80266477257365,15.962539421175242,120321,urad^4
"(7,2)-(8,3)",2,0.027566344373553875,34.665485555808694,5.887740275845114,120319,urad^4
"(1,3)-(6,8)",2,0.027566344373553875,171.07242420180867,13.079465746039043,120319,urad^4
"(2,3)-(7,8)",2,0.027566344373553875,147.95634242787213,12.163730613092026,120319,urad^4
"(6,1)-(8,3)",2,0.027566344373553875,100.86261189017857,10.043037981117992,120319,urad^4
"(2,2)-(8,8)",2,0.027566344373553875,107.00335100257983,10.344242408343872,120319,urad^4
"(1,2)-(7,8)",2,0.027566344373553875,119.8233812890458,10.946386677303419,120319,urad^4
"(7,1)-(8,2)",2,0.027566344373553875,42.50785948234707,6.519805172115734,120319,urad^4
"(3,1)-(8,6)",2,0.027566344373553875,184.24206833875897,13.573579790856904,120319,urad^4
"(3,2)-(8,7)",2,0.027566344373553875,163.62151508506886,12.79146258584486,120319,urad^4
"(7,2)-(8,3)",3,0.04134951656033081,27.14360478508473,5.209952474359505,120317,urad^4
"(1,3)-(6,8)",3,0.04134951656033081,148.94134583104218,12.204152810869019,120317,urad^4
"(2,3)-(7,8)",3,0.04134951656033081,129.5126397960517,11.380362023945095,120317,urad^4
