Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
0,0.000000000000,-76.000000000000,8,-160
35207.041408281657,0.035207041408,-75.964792958592,8,-56.7406868367
70414.082816563314,0.070414082817,-75.929585917183,8,-50.7200961219
105621.12422484497,0.105621124225,-75.894378875775,8,-47.1982862716
140828.16563312663,0.140828165633,-75.859171834367,8,-44.6995330025
176035.20704140828,0.176035207041,-75.823964792959,8,-42.7613603379
211242.24844968994,0.211242248450,-75.788757751550,8,-41.1777691448
246449.2898579716,0.246449289858,-75.753550710142,8,-39.8388732125
281656.33126625326,0.281656331266,-75.718343668734,8,-38.6790802657
316863.37267453491,0.316863372675,-75.683136627325,8,-37.656081942
352070.41408281657,0.352070414083,-75.647929585917,8,-36.7409903886
387277.45549109823,0.387277455491,-75.612722544509,8,-35.9132010758
422484.49689937988,0.422484496899,-75.577515503101,8,-35.1575003809
457691.53830766154,0.457691538308,-75.542308461692,8,-34.4623349114
492898.5797159432,0.492898579716,-75.507101420284,8,-33.8187240324
528105.62112422485,0.528105621124,-75.471894378876,8,-33.2195484861
563312.66253250651,0.563312662533,-75.436687337467,8,-32.6590690683
598519.70394078817,0.598519703941,-75.401480296059,8,-32.132591481
633726.74534906982,0.633726745349,-75.366273254651,8,-31.6362271267
668933.78675735148,0.668933786757,-75.331066213243,8,-31.1667186631
704140.82816563314,0.704140828166,-75.295859171834,8,-30.7213103555
739347.8695739148,0.739347869574,-75.260652130426,8,-30.2976500941
774554.91098219645,0.774554910982,-75.225445089018,8,-29.8937142258
809761.95239047811,0.809761952390,-75.190238047610,8,-29.5077491089
844968.99379875977,0.844968993799,-75.155031006201,8,-29.1382251157
880176.03520704142,0.880176035207,-75.119823964793,8,-28.783800031
915383.07661532308,0.915383076615,-75.084616923385,8,-28.4432896335
950590.11802360474,0.950590118024,-75.049409881976,8,-28.1156438323
985797.15943188639,0.985797159432,-75.014202840568,8,-27.7999271454
1021004.2008401681,1.021004200840,-74.978995799160,8,-27.4953026054
1056211.2422484497,1.056211242248,-74.943788757752,8,-27.2010183946
1091418.2836567312,1.091418283657,-74.908581716343,8,-26.9163966726
1126625.325065013,1.126625325065,-74.873374674935,8,-26.640824178
1161832.3664732948,1.161832366473,-74.838167633527,8,-26.3737442769
1197039.4078815763,1.197039407882,-74.802960592118,8,-26.1146501988
1232246.4492898579,1.232246449290,-74.767753550710,8,-25.8630792532
1267453.4906981396,1.267453490698,-74.732546509302,8,-25.6186078609
1302660.5321064214,1.302660532106,-74.697339467894,8,-25.3808472667
1337867.573514703,1.337867573515,-74.662132426485,8,-25.1494398233
1373074.6149229845,1.373074614923,-74.626925385077,8,-24.9240557588
1408281.6563312663,1.408281656331,-74.591718343669,8,-24.7043903527
1443488.697739548,1.443488697740,-74.556511302260,8,-24.4901614613
1478695.7391478296,1.478695739148,-74.521304260852,8,-24.2811073409
1513902.7805561111,1.513902780556,-74.486097219444,8,-24.0769847273
1549109.8219643929,1.549109821964,-74.450890178036,8,-23.8775671363
1584316.8633726747,1.584316863373,-74.415683136627,8,-23.682643355
1619523.9047809562,1.619523904781,-74.380476095219,8,-23.492016099
1654730.9461892378,1.654730946189,-74.345269053811,8,-23.3055008138
1689937.9875975195,1.689937987598,-74.310062012402,8,-23.1229246029
1725145.0290058013,1.725145029006,-74.274854970994,8,-22.9441252661
1760352.0704140828,1.760352070414,-74.239647929586,8,-22.7689504348
1795559.1118223644,1.795559111822,-74.204440888178,8,-22.5972567932
1830766.1532306462,1.830766153231,-74.169233846769,8,-22.4289093752
1865973.1946389279,1.865973194639,-74.134026805361,8,-22.263780928
1901180.2360472095,1.901180236047,-74.098819763953,8,-22.1017513353
1936387.277455491,1.936387277455,-74.063612722545,8,-21.9427070934
1971594.3188637728,1.971594318864,-74.028405681136,8,-21.786540835
2006801.3602720546,2.006801360272,-73.993198639728,8,-21.6331508939
2042008.4016803361,2.042008401680,-73.957991598320,8,-21.4824409091
2077215.4430886176,2.077215443089,-73.922784556911,8,-21.3343194616
2112422.4844968994,2.112422484497,-73.887577515503,8,-21.1886997423
2147629.5259051812,2.147629525905,-73.852370474095,8,-21.0454992469
2182836.5673134625,2.182836567313,-73.817163432687,8,-20.9046394963
2218043.6087217443,2.218043608722,-73.781956391278,8,-20.7660457786
2253250.650130026,2.253250650130,-73.746749349870,8,-20.6296469121
2288457.6915383078,2.288457691538,-73.711542308462,8,-20.495375026
2323664.7329465896,2.323664732947,-73.676335267053,8,-20.3631653584
2358871.7743548709,2.358871774355,-73.641128225645,8,-20.2329560693
2394078.8157631527,2.394078815763,-73.605921184237,8,-20.1046880672
2429285.8571714344,2.429285857171,-73.570714142829,8,-19.978304849
2464492.8985797158,2.464492898580,-73.535507101420,8,-19.8537523505
2499699.9399879975,2.499699939988,-73.500300060012,8,-19.7309788086
2534906.9813962793,2.534906981396,-73.465093018604,8,-19.6099346319
2570114.0228045611,2.570114022805,-73.429885977195,8,-19.4905722816
