AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
0,0,-202.747482078,-106.174063725,-113.332171056,-113.357972522,-104.990213868
144.958496094,0.144958496094,-151.404262192,-56.6442796306,-63.7973059874,-63.8283390126,-55.4592362457
289.916992188,0.289916992188,-148.148242112,-101.397640046,-105.193843438,-99.3552391298,-113.884220459
434.875488281,0.434875488281,-144.896038395,-108.167957676,-98.4917853814,-100.78120196,-103.833115768
579.833984375,0.579833984375,-142.048050451,-111.217299559,-93.3657675627,-96.0071788331,-95.9131588631
724.792480469,0.724792480469,-140.324162132,-110.959396657,-95.207803571,-97.3123458956,-90.7439884675
869.750976562,0.869750976562,-138.285619268,-113.251214817,-100.540175348,-102.465672394,-95.3088732462
1014.70947266,1.01470947266,-136.706262767,-115.634124117,-102.095663364,-104.332205273,-104.215296001
1159.66796875,1.15966796875,-135.977923708,-107.659834611,-103.257206932,-103.66624061,-106.995670505
1304.62646484,1.30462646484,-135.257300486,-103.880022498,-99.5653612362,-101.931236294,-108.29916041
1449.58496094,1.44958496094,-134.561133976,-104.329947431,-97.3544150954,-99.4785753333,-102.804809573
1594.54345703,1.59454345703,-133.019898341,-107.484402186,-102.419723104,-102.830615668,-101.505394397
1739.50195312,1.73950195312,-132.878443507,-108.520770667,-104.529278296,-102.873787856,-100.997430936
1884.46044922,1.88446044922,-131.62110614,-107.251148575,-108.932321101,-107.590633946,-106.231260969
2029.41894531,2.02941894531,-130.608595925,-105.549801983,-109.994665528,-110.325642995,-108.006988433
2174.37744141,2.17437744141,-129.917038624,-101.364007542,-102.947395849,-105.109114011,-107.677699795
2319.3359375,2.3193359375,-129.703378786,-100.072128848,-95.1028582362,-98.3603786556,-107.503804883
2464.29443359,2.46429443359,-129.661604179,-108.811456297,-93.1763888891,-96.1376158566,-108.206868701
2609.25292969,2.60925292969,-129.186882178,-117.08313118,-93.0887913069,-95.0523348014,-108.971313929
2754.21142578,2.75421142578,-128.424462986,-115.999856285,-94.1584138026,-96.4401976847,-109.16547487
2899.16992188,2.89916992188,-128.220420991,-115.526860959,-97.7150396321,-99.0284309438,-105.986571875
3044.12841797,3.04412841797,-126.971849929,-114.368045457,-92.7002953679,-95.7705492677,-104.447394775
3189.08691406,3.18908691406,-126.38289197,-115.738414787,-84.0968055726,-87.2857114364,-108.711549313
3334.04541016,3.33404541016,-126.510945023,-114.793362723,-84.0901604924,-87.5042289728,-108.535244067
