Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
0,0,-202.747482078,-106.174063725,-113.332171056,-113.357972522,-104.990213868
144.958496094,0.144958496094,-151.677344767,-56.6445966335,-63.8023820505,-63.8222762187,-55.4594904482
289.916992188,0.289916992188,-148.269855191,-100.990605644,-105.249888371,-99.3977131071,-113.909927399
434.875488281,0.434875488281,-144.96442906,-107.411805972,-98.6017395101,-101.044650412,-104.041290329
579.833984375,0.579833984375,-142.42850056,-110.909526728,-93.3873585115,-96.212765297,-96.049487929
724.792480469,0.724792480469,-141.119169595,-112.025715832,-95.1449910625,-97.2122381665,-90.8226436984
869.750976562,0.869750976562,-138.059692483,-113.604119537,-100.362280012,-102.112403719,-95.4116402074
1014.70947266,1.01470947266,-136.177163391,-116.603556472,-101.788914772,-104.316421889,-104.398952161
1159.66796875,1.15966796875,-134.917003391,-107.655186949,-103.113166437,-103.625749271,-106.840885255
1304.62646484,1.30462646484,-135.115260155,-103.190164314,-99.7064595889,-101.67824652,-108.1191835
1449.58496094,1.44958496094,-134.208531944,-103.505383689,-97.9636145518,-99.3575584318,-102.905990896
1594.54345703,1.59454345703,-132.853299997,-106.045246549,-102.824378578,-102.4656702,-101.50822114
1739.50195312,1.73950195312,-132.845197838,-107.225206127,-104.704924171,-102.659984627,-101.073202129
1884.46044922,1.88446044922,-131.838451789,-107.173963824,-108.992744705,-107.469041568,-106.080314153
2029.41894531,2.02941894531,-130.544398921,-105.002306134,-109.639220563,-110.281328618,-108.189224928
2174.37744141,2.17437744141,-129.718632481,-101.713395684,-102.929307702,-104.832594809,-107.742324468
2319.3359375,2.3193359375,-130.02941729,-100.224284568,-95.1206259893,-98.165416975,-107.557496878
2464.29443359,2.46429443359,-130.036441409,-109.041572647,-93.1921527053,-96.0869833536,-108.213051359
2609.25292969,2.60925292969,-129.029049019,-116.519840842,-93.151407383,-94.9936170795,-109.086392404
2754.21142578,2.75421142578,-129.758245848,-116.031123823,-94.2508943573,-96.4542029847,-109.167544816
2899.16992188,2.89916992188,-129.317979643,-114.960668596,-97.8034979672,-98.8428095134,-106.042334121
3044.12841797,3.04412841797,-126.735824999,-113.890566925,-92.6828953589,-95.7642533413,-104.527591227
3189.08691406,3.18908691406,-126.383875897,-115.796782706,-84.0955875705,-87.2808226824,-108.734074808
3334.04541016,3.33404541016,-126.838971074,-114.931899582,-84.0833837637,-87.5025789463,-108.316673978
3479.00390625,3.47900390625,-126.385806501,-115.972742042,-90.6389162173,-94.0068561732,-108.964725952
3623.96240234,3.62396240234,-126.782381858,-117.012642317,-81.0107832472,-84.2973237254,-109.04052303
3768.92089844,3.76892089844,-127.92127341,-117.565801362,-76.2900685064,-79.9204436152,-106.314120025
3913.87939453,3.91387939453,-125.850585635,-117.203191862,-78.0377225347,-81.7778157919,-102.749658662
4058.83789062,4.05883789062,-126.747239494,-116.726942433,-78.403868132,-81.1657833164,-103.894522966
4203.79638672,4.20379638672,-125.394238995,-116.655877155,-82.1396914652,-85.4850677124,-108.05188428
4348.75488281,4.34875488281,-123.661046524,-116.614829823,-88.1508167178,-92.6352862863,-111.056832361
4493.71337891,4.49371337891,-124.283641326,-117.2208369,-88.862609715,-91.3093311421,-110.691287124
4638.671875,4.638671875,-124.366592042,-115.870773364,-94.4133611989,-97.9566318213,-110.778618048
4783.63037109,4.78363037109,-125.14508119,-114.837712405,-103.609020909,-107.000469407,-110.563876823
4928.58886719,4.92858886719,-124.515010179,-114.702534048,-103.877860435,-106.962018062,-109.685817308
5073.54736328,5.07354736328,-124.135493988,-114.828644671,-95.4779693585,-98.8847345714,-109.147433641
5218.50585938,5.21850585938,-122.834536609,-116.686705541,-87.4990818712,-89.7578210397,-110.785307716
5363.46435547,5.36346435547,-122.090763863,-116.707710526,-81.6022868774,-82.9211129356,-110.231754612
5508.42285156,5.50842285156,-122.357270389,-115.031325855,-81.0870423588,-82.6478619943,-108.302448851
5653.38134766,5.65338134766,-122.149346038,-115.230927296,-87.9161562625,-90.2125005365,-107.237995006
5798.33984375,5.79833984375,-121.227913961,-114.831437936,-97.8036482133,-100.824534111,-108.192481885
5943.29833984,5.94329833984,-120.920895293,-113.462317663,-96.1089072221,-98.5414166581,-109.052201884
6088.25683594,6.08825683594,-121.510098847,-111.954522539,-98.2988216577,-101.820857425,-107.232122342
6233.21533203,6.23321533203,-121.826973042,-111.809028142,-103.786928917,-106.412391671,-104.876240213
6378.17382812,6.37817382812,-121.684514766,-112.653396988,-109.900597943,-110.127279437,-104.014326695
6523.13232422,6.52313232422,-121.66159048,-114.19917151,-109.47868204,-110.264193669,-105.736143938
6668.09082031,6.66809082031,-120.36041373,-114.938236513,-110.791398587,-111.096556823,-109.146603746
