AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
0,0,-42.7474820776,53.8259362754,46.6678289441,46.6420274783,55.0097861323
144.958496094,0.144958496094,-46.9558612945,47.8041212676,40.6510949108,40.6200618855,48.9891646524
289.916992188,0.289916992188,-49.720441127,-2.96983906089,-6.76604245291,-0.92743814447,-15.4564194738
434.875488281,0.434875488281,-49.9900625903,-13.2619818725,-3.58580957697,-5.87522615542,-8.92713996422
579.833984375,0.579833984375,-49.6408493785,-18.8100984863,-0.958566489935,-3.59997776032,-3.50595779043
724.792480469,0.724792480469,-49.8551613195,-20.4903958439,-4.73880275802,-6.84334508267,-0.27498765453
869.750976562,0.869750976562,-49.4002433752,-24.3658389251,-11.6547994553,-13.5802965007,-6.42349735357
1014.70947266,1.01470947266,-49.1598226673,-28.0876840171,-14.5492232632,-16.7857651718,-16.6688559001
1159.66796875,1.15966796875,-49.5913225456,-21.2732334494,-16.8706057703,-17.279639448,-20.6090693434
1304.62646484,1.30462646484,-49.8937497721,-18.5164717844,-14.2018105224,-16.5676855805,-22.9356096961
1449.58496094,1.44958496094,-50.1127330715,-19.8815465275,-12.9060141917,-15.0301744297,-18.3564086689
1594.54345703,1.59454345703,-49.3993511403,-23.8638549842,-18.7991759025,-19.2100684659,-17.8848471947
1739.50195312,1.73950195312,-50.0136675226,-25.6559946817,-21.6645023107,-20.0090118714,-18.1326549504
1884.46044922,1.88446044922,-49.4515722786,-25.0816147133,-26.762787239,-25.4211000849,-24.0617271081
2029.41894531,2.02941894531,-49.0827557297,-24.0239617883,-28.4688253327,-28.7998027991,-26.4811482379
2174.37744141,2.17437744141,-48.9904628957,-20.4374318124,-22.02082012,-24.182538282,-26.7511240661
2319.3359375,2.3193359375,-49.3373775279,-19.7061275897,-14.7368569776,-17.994377397,-27.1378036241
2464.29443359,2.46429443359,-49.8221816934,-28.9720338113,-13.3369664032,-16.2981933707,-28.3674462155
2609.25292969,2.60925292969,-49.8439313651,-37.7401803672,-13.7458404937,-15.7093839882,-29.6283631158
2754.21142578,2.75421142578,-49.5511340875,-37.1265273867,-15.2850849045,-17.5668687866,-30.2921459721
2899.16992188,2.89916992188,-49.7926199843,-37.0990599536,-19.2872386262,-20.6006299379,-27.5587708684
3044.12841797,3.04412841797,-48.9678349029,-36.3640304307,-14.6962803413,-17.7665342411,-26.4433797479
3189.08691406,3.18908691406,-48.7829446632,-38.1384674799,-6.49685826553,-9.68576412926,-31.111602006
3334.04541016,3.33404541016,-49.2971008175,-37.5795185165,-6.87631628686,-10.2903847672,-31.3213998612
3479.00390625,3.47900390625,-49.7005306657,-38.969350807,-13.8037807495,-17.2157781792,-32.1653475644
3623.96240234,3.62396240234,-49.8896054086,-40.3859556184,-4.54068397945,-7.82404590563,-32.3270250671
3768.92089844,3.76892089844,-50.6181080725,-41.3739128778,-0.164192600752,-3.78767607214,-29.8304260706
3913.87939453,3.91387939453,-49.5272976165,-40.9810148056,-2.21351758401,-5.94663518752,-26.588353328
4058.83789062,4.05883789062,-49.8070866171,-41.2493198969,-2.85453412865,-5.62825594717,-28.0934755399
4203.79638672,4.20379638672,-49.2021140882,-41.7914168078,-6.89448478244,-10.2515434842,-33.048305635
4348.75488281,4.34875488281,-48.9256341426,-41.9025967606,-13.262435855,-17.7156713086,-36.1527087355
4493.71337891,4.49371337891,-50.066704697,-42.4953128115,-14.3185636297,-16.7499317235,-35.8338316409
4638.671875,4.638671875,-49.9193202292,-42.132897772,-20.1401514143,-23.6815351288,-36.3836661362
4783.63037109,4.78363037109,-49.9404013038,-40.8270834277,-29.3974977929,-32.8983610915,-36.3302163114
4928.58886719,4.92858886719,-49.9107568848,-40.654697215,-29.8840994031,-33.0311122288,-35.9036958657
5073.54736328,5.07354736328,-49.9322981396,-40.840933917,-21.8144258391,-25.3732962862,-35.8620954094
5218.50585938,5.21850585938,-49.6556521222,-43.4157158384,-14.0656439225,-16.3829945649,-37.3382306208
5363.46435547,5.36346435547,-49.001776433,-43.9862253825,-8.42664604097,-9.77023638818,-37.1195893495
5508.42285156,5.50842285156,-48.9787839641,-42.5199760945,-8.16279595006,-9.73309564965,-35.6533111061
5653.38134766,5.65338134766,-50.1824770622,-42.4902801056,-15.2252756343,-17.5393770676,-34.9005964587
5798.33984375,5.79833984375,-49.6158967506,-41.8983643505,-25.2207997617,-28.6275906746,-36.3185659184
5943.29833984,5.94329833984,-49.7754063525,-41.2872554733,-23.7523518968,-26.3113869702,-36.9851806722
6088.25683594,6.08825683594,-49.4533344696,-39.4980720443,-26.254016819,-29.28409097,-34.8577252115
6233.21533203,6.23321533203,-49.437903478,-39.3908262278,-31.7824224921,-34.2081985106,-32.8265015599
6378.17382812,6.37817382812,-49.8357495151,-40.769271781,-38.2605106807,-38.4687163151,-32.3989405126
6523.13232422,6.52313232422,-49.9029229158,-42.5115803126,-38.2304621855,-38.7517613002,-34.4685550092
6668.09082031,6.66809082031,-48.9565931501,-43.7230249625,-39.7394969387,-39.994716169,-37.4167960819
6813.04931641,6.81304931641,-49.375843452,-43.3703506743,-40.8082371324,-42.003481796,-38.0051339949
6958.0078125,6.9580078125,-49.4488804963,-44.4573702206,-41.6490512498,-43.3890551398,-37.9768627745
7102.96630859,7.10296630859,-49.1821149467,-43.047297076,-41.1198445045,-42.8804282243,-38.5490391138
7247.92480469,7.24792480469,-49.5511349459,-42.8184109385,-36.8844891425,-38.6908995669,-37.1187097668
7392.88330078,7.39288330078,-49.6073545255,-43.9081110684,-33.9006028912,-34.7610882035,-37.6628977474
7537.84179688,7.53784179688,-50.2121848077,-44.1281263405,-21.4377520251,-23.792716525,-37.232416811
7682.80029297,7.68280029297,-49.959663913,-42.8703739492,-21.5353887705,-24.2019846429,-37.0959167482
7827.75878906,7.82775878906,-49.5414092207,-43.2500945667,-31.6774156573,-33.2490509915,-37.1873423052
7972.71728516,7.97271728516,-49.9521640884,-43.3107472535,-25.9348072884,-28.9389712227,-35.254425676
8117.67578125,8.11767578125,-50.2696831357,-43.2278906984,-22.8808007668,-26.2735663806,-33.9981617369
8262.63427734,8.26263427734,-49.7687799526,-42.8912690722,-23.9677444104,-27.3440384421,-35.2794073497
8407.59277344,8.40759277344,-49.4884946769,-43.7381396267,-29.9459103434,-34.0979122803,-36.4054752167
8552.55126953,8.55255126953,-49.3674814073,-44.0226045446,-36.7259984461,-40.0115340074,-35.8816314518
8697.50976562,8.69750976562,-50.0934464421,-43.6566083279,-36.0894640503,-41.1990625593,-36.2894917135
8842.46826172,8.84246826172,-49.8849589789,-44.227812817,-38.5850053293,-41.4284534608,-38.079181222
8987.42675781,8.98742675781,-49.7744129295,-44.5573924546,-41.4442905588,-43.172555583,-39.1279155848
9132.38525391,9.13238525391,-49.3619898522,-44.1165373289,-40.4670297999,-42.1008785538,-39.6750882695
9277.34375,9.27734375,-49.4507380282,-44.5074528669,-40.5136643468,-41.5820282921,-38.9575193022
9422.30224609,9.42230224609,-49.2890048881,-44.002595611,-37.2131869535,-39.780072078,-39.4642805775
9567.26074219,9.56726074219,-49.0059291362,-44.1236579614,-35.2997386177,-37.7054575401,-40.6473321089
9712.21923828,9.71221923828,-49.5184823579,-43.1063143659,-37.7903405023,-39.90344641,-41.3272629122
9857.17773438,9.85717773438,-48.9929099247,-43.5518034842,-39.2005386112,-40.8916620717,-40.566823387
10002.1362305,10.0021362305,-49.6061458162,-44.6968734893,-42.0638588676,-42.7694919374,-40.0511265516
10147.0947266,10.1470947266,-49.6347706896,-44.7376416927,-42.5937459344,-44.8270584929,-40.6617186793
10292.0532227,10.2920532227,-49.6085097272,-45.1282591187,-42.1008503327,-43.0488141143,-40.3126589102
10437.0117188,10.4370117188,-49.7980821358,-44.7238847202,-39.8373825149,-41.2811849625,-40.4629414641
10581.9702148,10.5819702148,-49.0413463085,-44.4814683641,-33.1328179687,-35.809020824,-40.7280705548
10726.9287109,10.7269287109,-50.0587157871,-43.9830809283,-31.380251253,-34.9182884355,-41.063873814
10871.887207,10.871887207,-49.3376045354,-44.0422925648,-36.6745829409,-40.9102786721,-41.4823373406
11016.8457031,11.0168457031,-48.7155987813,-45.0619899534,-44.090491367,-44.037914357,-42.3153424621
11161.8041992,11.1618041992,-48.6707904551,-43.2905057126,-45.611693244,-45.6636536968,-42.6074789224
11306.7626953,11.3067626953,-48.8723540477,-43.5779973175,-45.2761908878,-45.8164728441,-42.8764780507
11451.7211914,11.4517211914,-49.3079546602,-44.5138440396,-45.6287397763,-46.4485807265,-42.8607637691
11596.6796875,11.5966796875,-49.7642815891,-45.2595683895,-46.2636168495,-45.9031674702,-42.812032507
11741.6381836,11.7416381836,-49.5527577595,-45.0783803309,-45.2877819985,-45.4125975081,-41.7101133247
11886.5966797,11.8865966797,-48.7417356068,-44.6508776821,-43.1092373874,-44.964360855,-41.7198363025
12031.5551758,12.0315551758,-48.8596856815,-44.4574647481,-41.4898889176,-43.5365354735,-41.4422027103
12176.5136719,12.1765136719,-49.5228517015,-43.9311548446,-38.2998456239,-41.0853092009,-41.6428216949
12321.472168,12.321472168,-49.5684555262,-44.3560290346,-34.6359142483,-36.85311364,-42.0626316444
12466.4306641,12.4664306641,-49.4833970662,-44.3886207926,-37.3371775387,-39.2524259841,-42.3848081264
12611.3891602,12.6113891602,-49.6572162212,-44.2443102869,-45.4314356949,-45.0542493098,-41.4847291836
12756.3476562,12.7563476562,-49.0734173937,-42.8768684975,-44.9840937242,-45.6214101127,-41.6204669417
12901.3061523,12.9013061523,-48.7205560715,-43.1774739411,-44.4867012691,-45.0681418965,-42.3927623165
13046.2646484,13.0462646484,-49.0501887457,-43.8037365555,-43.424929815,-44.8161645601,-41.4857475182
13191.2231445,13.1912231445,-48.9583515491,-43.0562719309,-43.775062564,-45.4958357775,-42.2192229286
