Offset_Hz,Offset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
0,0,-42.7474820776,53.8259362754,46.6678289441,46.6420274783,55.0097861323
144.958496094,0.144958496094,-47.2289438688,47.8038042648,40.6460188479,40.6261246797,48.9889104502
289.916992188,0.289916992188,-49.8420542055,-2.5628046587,-6.82208738555,-0.96991212163,-15.4821264135
434.875488281,0.434875488281,-50.0584532558,-12.5058301679,-3.69576370563,-6.13867460751,-9.13531452438
579.833984375,0.579833984375,-50.0212994877,-18.5023256557,-0.980157438716,-3.80556422424,-3.64228685623
724.792480469,0.724792480469,-50.6501687818,-21.5567150188,-4.67599024953,-6.74323735348,-0.353642885356
869.750976562,0.869750976562,-49.1743165908,-24.7187436446,-11.4769041197,-13.2270278263,-6.52626431471
1014.70947266,1.01470947266,-48.6307232907,-29.0571163716,-14.2424746713,-16.7699817881,-16.85251206
1159.66796875,1.15966796875,-48.5304022286,-21.2685857874,-16.726565275,-17.2391481094,-20.4542840933
1304.62646484,1.30462646484,-49.7517094407,-17.8266136005,-14.3429088751,-16.3146958061,-22.7556327857
1449.58496094,1.44958496094,-49.76013104,-19.0569827856,-13.5152136482,-14.9091575281,-18.4575899922
1594.54345703,1.59454345703,-49.2327527959,-22.4246993476,-19.203831376,-18.8451229988,-17.8876739381
1739.50195312,1.73950195312,-49.9804218528,-24.3604301415,-21.8401481857,-19.7952086425,-18.2084261441
1884.46044922,1.88446044922,-49.6689179275,-25.0044299626,-26.8232108435,-25.2995077065,-23.9107802918
2029.41894531,2.02941894531,-49.0185587255,-23.4764659394,-28.1133803679,-28.7554884225,-26.6633847327
2174.37744141,2.17437744141,-48.7920567524,-20.7868199546,-22.0027319726,-23.90601908,-26.815748739
2319.3359375,2.3193359375,-49.6634160316,-19.8582833093,-14.7546247306,-17.7994157163,-27.1914956189
2464.29443359,2.46429443359,-50.197018923,-29.2021501611,-13.3527302194,-16.2475608676,-28.3736288736
2609.25292969,2.60925292969,-49.6860982059,-37.1768900293,-13.8084565698,-15.6506662663,-29.7434415906
2754.21142578,2.75421142578,-50.8849169495,-37.1577949251,-15.3775654591,-17.5808740866,-30.2942159176
2899.16992188,2.89916992188,-50.890178637,-36.5328675904,-19.3756969613,-20.4150085075,-27.6145331151
3044.12841797,3.04412841797,-48.731809972,-35.8865518988,-14.6788803322,-17.7602383146,-26.5235762
3189.08691406,3.18908691406,-48.7839285897,-38.1968353989,-6.49564026339,-9.68087537523,-31.1341275008
3334.04541016,3.33404541016,-49.6251268686,-37.7180553761,-6.86953955812,-10.2887347407,-31.1028297722
3479.00390625,3.47900390625,-49.5416304068,-39.128565948,-13.7947401232,-17.162680079,-32.1205498579
3623.96240234,3.62396240234,-50.2927811008,-40.5230415594,-4.52118248972,-7.80772296792,-32.5509222723
3768.92089844,3.76892089844,-51.7723394358,-41.416867388,-0.141134532211,-3.77150964105,-30.1651860509
3913.87939453,3.91387939453,-50.0294599816,-41.3820662086,-2.21659688152,-5.95669013873,-26.9285330084
4058.83789062,4.05883789062,-51.2419991813,-41.2217021204,-2.89862781967,-5.660543004,-28.3892826532
4203.79638672,4.20379638672,-50.1937980109,-41.4554361711,-6.939250481,-10.2846267282,-32.8514432963
4348.75488281,4.34875488281,-48.7550706735,-41.7088539717,-13.2448408669,-17.7293104354,-36.1508565101
4493.71337891,4.49371337891,-49.6624742539,-42.5996698285,-14.2414426433,-16.6881640704,-36.0701200528
4638.671875,4.638671875,-50.0211906567,-41.5253719785,-20.0679598136,-23.611230436,-36.4332166624
4783.63037109,4.78363037109,-51.0669590321,-40.7595902474,-29.5308987519,-32.9223472493,-36.4857546652
4928.58886719,4.92858886719,-50.6961875615,-40.8837114304,-30.0590378176,-33.1431954445,-35.8669946908
5073.54736328,5.07354736328,-50.5684539125,-41.2616045963,-21.9109292835,-25.3176944963,-35.5803935654
5218.50585938,5.21850585938,-49.5121856587,-43.3643545907,-14.1767309208,-16.4354700892,-37.4629567656
5363.46435547,5.36346435547,-49.0063973744,-43.6233440375,-8.51792038919,-9.83674644741,-37.1473881242
5508.42285156,5.50842285156,-49.5045413483,-42.1785968135,-8.23431331762,-9.79513295312,-35.4497198096
5653.38134766,5.65338134766,-49.5222372011,-42.6038184595,-15.2890474256,-17.5853916995,-34.6108861686
5798.33984375,5.79833984375,-48.820712806,-42.4242367814,-25.3964470583,-28.4173329564,-35.78528073
5943.29833984,5.94329833984,-48.7281714417,-41.2695938119,-23.9161833706,-26.3486928067,-36.8594780325
6088.25683594,6.08825683594,-49.526683665,-39.9711073571,-26.3154064755,-29.8374422425,-35.2487071594
6233.21533203,6.23321533203,-50.047941159,-40.029996259,-32.0078970336,-34.6333597879,-33.0972083304
6378.17382812,6.37817382812,-50.1051672967,-41.0740495182,-38.3212504735,-38.5479319681,-32.4349792255
6523.13232422,6.52313232422,-50.2774397515,-42.8150207815,-38.0945313118,-38.8800429408,-34.3519932096
6668.09082031,6.66809082031,-49.1671693552,-43.7449921386,-39.5981542126,-39.9033124483,-37.9533593716
6813.04931641,6.81304931641,-49.2602871071,-44.1681460458,-40.4125933795,-41.8466155339,-38.3323118253
6958.0078125,6.9580078125,-48.9296063142,-45.1886535537,-41.1411130575,-43.8952390919,-38.0461258348
7102.96630859,7.10296630859,-50.1295586628,-43.2985495704,-40.7814251224,-43.1320135552,-38.5016001157
7247.92480469,7.24792480469,-49.9326671046,-43.0953600459,-36.9097121063,-39.0659246236,-37.0993820369
7392.88330078,7.39288330078,-49.4383455305,-43.2852507866,-33.7788202177,-34.7268405419,-37.8278663356
7537.84179688,7.53784179688,-50.902193508,-44.0719616136,-21.3218044111,-23.7235009632,-37.858432437
7682.80029297,7.68280029297,-50.7275604837,-43.3367193996,-21.4403097811,-24.1480345578,-38.0224820622
7827.75878906,7.82775878906,-49.7126067587,-42.4922696336,-31.5418145552,-33.4675750256,-37.2043435552
7972.71728516,7.97271728516,-50.2029051687,-42.8115225798,-25.9226567076,-28.8030605428,-34.9833665929
8117.67578125,8.11767578125,-50.7276980985,-43.2477959045,-22.9497192171,-26.0868139176,-34.3070513645
8262.63427734,8.26263427734,-49.8545284426,-42.6371335028,-23.9245713124,-27.2173994979,-35.1027475634
8407.59277344,8.40759277344,-49.737957733,-43.6144800954,-29.7902044204,-33.9479295927,-35.1906776288
8552.55126953,8.55255126953,-49.6027367606,-44.0686954624,-36.4849816622,-39.878123963,-34.6048536737
8697.50976562,8.69750976562,-50.0937184828,-44.0328050111,-35.5225445774,-40.9569702502,-35.6072809114
8842.46826172,8.84246826172,-49.7496573451,-44.3403863358,-38.330855274,-40.9911075585,-38.1152597434
8987.42675781,8.98742675781,-49.652029495,-44.6658592255,-41.1510481834,-42.9510479785,-39.7633614737
9132.38525391,9.13238525391,-49.9837547976,-44.3185199341,-40.5437859673,-42.298661631,-39.4267111244
9277.34375,9.27734375,-50.0626348158,-44.6429414303,-40.4550652603,-41.579347124,-38.8367709683
9422.30224609,9.42230224609,-50.0261467841,-43.9159276592,-37.399887525,-39.9526081437,-39.5876266712
9567.26074219,9.56726074219,-48.6247564415,-44.4875193149,-35.2417859244,-37.9865760274,-40.2730699556
9712.21923828,9.71221923828,-48.4150829885,-43.7219043694,-37.6216566501,-40.3593871297,-41.6969573429
9857.17773438,9.85717773438,-48.7922361304,-43.5710715667,-38.703254107,-41.0391089437,-40.9361065975
10002.1362305,10.0021362305,-49.5083057917,-44.1004955284,-41.5138183853,-42.0431939194,-40.1384944458
10147.0947266,10.1470947266,-49.2735473812,-44.3940183312,-42.383402545,-43.8887308718,-40.5507386873
10292.0532227,10.2920532227,-48.7398839817,-45.8563894874,-43.0009658276,-42.4462260185,-40.0141739525
10437.0117188,10.4370117188,-49.1675582447,-44.9539521857,-39.9832087063,-41.4439306304,-40.27207388
10581.9702148,10.5819702148,-48.4718112315,-44.3308801994,-33.1637857799,-35.5714317996,-40.1525616926
10726.9287109,10.7269287109,-49.4829957707,-44.5028910228,-31.5805454832,-34.5662990803,-41.5545657674
10871.887207,10.871887207,-48.8662153595,-44.2968907506,-37.2188008433,-41.0528127844,-42.7517315985
11016.8457031,11.0168457031,-48.3769064688,-44.9906319204,-43.662740385,-43.9882403127,-42.6025882677
11161.8041992,11.1618041992,-48.7289129271,-43.215349453,-45.0250575925,-46.0453439365,-42.0544055517
11306.7626953,11.3067626953,-48.5527600844,-43.127141103,-44.7627886482,-46.5511075404,-41.9074842859
11451.7211914,11.4517211914,-48.7242905921,-43.9448446096,-44.7417182477,-45.9258703982,-42.4484281512
11596.6796875,11.5966796875,-50.5895476067,-44.2612798461,-46.075015704,-45.4666988072,-42.2937466619
11741.6381836,11.7416381836,-49.2973258311,-44.0151378006,-45.4894370378,-45.6649242722,-41.66237098
11886.5966797,11.8865966797,-49.0776417267,-44.5965095124,-43.6425591013,-44.624216417,-41.891463523
12031.5551758,12.0315551758,-49.6956233881,-44.2943698088,-41.6451104167,-43.5158746972,-42.0552545947
12176.5136719,12.1765136719,-50.0511776444,-43.7176923936,-38.0986529984,-40.8411288764,-42.4228553706
12321.472168,12.321472168,-50.3650006557,-44.5936274229,-34.411203485,-36.7449256775,-42.311838347
12466.4306641,12.4664306641,-51.1849101352,-44.062600434,-37.2504560531,-39.206004657,-42.3745569501
12611.3891602,12.6113891602,-51.2012824042,-43.9359713353,-45.7901874011,-44.896080199,-41.2005262819
12756.3476562,12.7563476562,-49.0873133425,-42.7537160378,-45.6460833652,-45.5027861844,-41.4154522196
12901.3061523,12.9013061523,-47.9379482405,-43.1768888987,-44.29298701,-45.1685393893,-42.8425743044
13046.2646484,13.0462646484,-48.5409346221,-43.6705352168,-42.8112792318,-45.109301838,-41.449012652
13191.2231445,13.1912231445,-48.699385893,-43.1568962294,-44.0289492939,-46.3185724606,-42.09675235
13336.1816406,13.3361816406,-49.3126092499,-44.3876712729,-45.9973840713,-44.6996652867,-42.2490442645
13481.1401367,13.4811401367,-49.6360099385,-44.2696536302,-44.3252155253,-44.2237264095,-42.1484325888
13626.0986328,13.6260986328,-48.7439043444,-43.7777136464,-43.139154126,-46.118608378,-41.5239279065
13771.0571289,13.7710571289,-48.3956090922,-43.9800175508,-45.4038280111,-46.1823612335,-41.9883145953
13916.015625,13.916015625,-48.5811820114,-43.9631682492,-45.6302593277,-45.6125307878,-42.9066473917
14060.9741211,14.0609741211,-48.5604496366,-43.2651876277,-46.2443941597,-45.1912750003,-43.7799853176
14205.9326172,14.2059326172,-48.7557005814,-43.8310381962,-44.6962028413,-45.1094872498,-42.9619080835
14350.8911133,14.3508911133,-48.8492528003,-45.1947203809,-45.0176068756,-45.9335368961,-42.9281324242
14495.8496094,14.4958496094,-49.3263760061,-47.0829618941,-45.1424437763,-45.3311953066,-44.5494541476
14640.8081055,14.6408081055,-49.6154895741,-47.1080833759,-44.0113647751,-45.2415278036,-44.4625439758
14785.7666016,14.7857666016,-49.5090126855,-46.581184739,-45.1354629275,-46.230816746,-42.9620160478
14930.7250977,14.9307250977,-49.2925524306,-45.2239565051,-45.3769813035,-45.7339522568,-42.3620243991
15075.6835938,15.0756835938,-47.8505726224,-44.8233317059,-44.3211239757,-44.8711574552,-43.1422635659
15220.6420898,15.2206420898,-48.4612164674,-45.0341770077,-42.6988041421,-43.8618201551,-42.8825042674
15365.6005859,15.3656005859,-50.8045225837,-45.5475021342,-44.0886582429,-45.5077679191,-43.0774452212
15510.559082,15.510559082,-50.3644022141,-44.3140342182,-45.6167953915,-46.6474955859,-44.3013587136
15655.5175781,15.6555175781,-49.5866488896,-42.8408762303,-44.7737553456,-45.8659843275,-43.1295624019
15800.4760742,15.8004760742,-49.4721605355,-43.597806635,-38.6512574873,-40.0176634259,-41.2998869774
15945.4345703,15.9454345703,-49.3336888243,-43.8569747834,-36.7745941197,-38.503616577,-41.764848313
16090.3930664,16.0903930664,-49.2153403523,-45.2945034687,-43.3190310007,-44.6448354927,-42.9941376509
16235.3515625,16.2353515625,-48.0299781265,-44.171862403,-42.9723054644,-44.6751739373,-42.9654079047
