Frequency_Hz,Frequency_MHz,Offset_Hz,TwoTapFirRejection_dB,20260515_092941_after_fir_dB,20260515_133100_after_fir_dB,20260515_134951_after_fir_dB,20260515_140509_after_fir_dB,20260521_162959_after_fir_dB
75900123.596191406,75.900123596191,-99876.4038086,-47.6840411355,-97.1997987475,-92.6650211325,-92.9279158579,-94.0599705517,-91.5214237835
75900268.5546875,75.900268554688,-99731.4453125,-47.6966567374,-96.8902760857,-95.1001638239,-93.5762480652,-93.934967682,-91.4085504987
75900413.513183594,75.900413513184,-99586.4868164,-47.7092906895,-96.4888538058,-94.000061718,-94.1699971313,-94.4286695671,-91.092692139
75900558.471679688,75.900558471680,-99441.5283203,-47.7219430451,-96.9227744665,-92.3446287617,-95.2278990093,-94.4378404824,-91.064905759
75900703.430175781,75.900703430176,-99296.5698242,-47.7346138582,-96.7564010952,-92.5556976326,-94.7356474962,-94.450826097,-92.0221611519
75900848.388671875,75.900848388672,-99151.6113281,-47.7473031825,-98.4204628328,-93.9006550641,-92.9168556821,-95.6356680398,-93.6807021271
75900993.347167969,75.900993347168,-99006.652832,-47.7600110722,-98.1618454922,-92.5896357882,-92.7278304661,-94.3411691121,-93.9997842291
75901138.305664062,75.901138305664,-98861.6943359,-47.7727375817,-96.747870887,-93.5466318661,-93.1656372361,-93.7773784239,-92.195363497
75901283.264160156,75.901283264160,-98716.7358398,-47.7854827657,-97.3423783535,-92.9169710847,-94.1140310538,-94.0974487947,-92.1705800339
75901428.22265625,75.901428222656,-98571.7773438,-47.7982466791,-98.4735379201,-91.6616901232,-94.5817281426,-92.8474800201,-92.7612715814
75901573.181152344,75.901573181152,-98426.8188477,-47.811029377,-96.5035065153,-92.3753962785,-94.9391652028,-92.7917964442,-93.0140043423
75901718.139648438,75.901718139648,-98281.8603516,-47.8238309147,-96.8499669877,-91.9988307549,-95.3926601391,-92.6312935197,-91.5294350255
75901863.098144531,75.901863098145,-98136.9018555,-47.836651348,-97.0584352618,-92.4417274585,-94.6765140472,-93.0565111279,-93.249517351
75902008.056640625,75.902008056641,-97991.9433594,-47.8494907325,-96.8363418488,-92.474170896,-93.0057813506,-93.6511677207,-93.0906168386
75902153.015136719,75.902153015137,-97846.9848633,-47.8623491245,-97.4402287447,-92.7383901234,-93.4631283918,-94.7620362656,-92.7581393519
75902297.973632812,75.902297973633,-97702.0263672,-47.8752265803,-97.0336271749,-92.000736282,-92.2429888366,-94.1345499271,-92.814076033
75902442.932128906,75.902442932129,-97557.0678711,-47.8881231565,-96.370203927,-92.2471892422,-93.3291081791,-93.6866388654,-93.3571359851
75902587.890625,75.902587890625,-97412.109375,-47.90103891,-97.294991985,-91.7156055339,-93.8119612057,-94.7104770755,-92.633760908
75902732.849121094,75.902732849121,-97267.1508789,-47.9139738979,-97.8070607966,-90.9715857449,-94.0368277286,-94.7487100667,-93.3296923247
75902877.807617188,75.902877807617,-97122.1923828,-47.9269281775,-97.4837847489,-91.3226450223,-92.625836482,-93.6946727867,-93.077163695
75903022.766113281,75.903022766113,-96977.2338867,-47.9399018066,-97.1299344849,-92.8712255972,-93.139966176,-94.4279632576,-92.8206875438
75903167.724609375,75.903167724609,-96832.2753906,-47.9528948429,-96.7585615794,-93.0544806213,-93.8399172476,-94.1588270091,-92.1019276626
75903312.683105469,75.903312683105,-96687.3168945,-47.9659073447,-97.5118740129,-92.3631625444,-94.6642269291,-94.7951629248,-93.3404000348
75903457.641601562,75.903457641602,-96542.3583984,-47.9789393704,-96.9288097773,-93.5256651153,-94.571675165,-93.7494720252,-93.054626907
75903602.600097656,75.903602600098,-96397.3999023,-47.9919909785,-96.080923294,-94.1206303723,-93.5533017441,-93.3492614498,-92.2376520955
75903747.55859375,75.903747558594,-96252.4414062,-48.0050622282,-96.6504709445,-94.1600148298,-93.1352809483,-94.351177771,-92.2094985499
75903892.517089844,75.903892517090,-96107.4829102,-48.0181531784,-97.8430108986,-93.0251182487,-93.3780434575,-94.6106030361,-92.7697587852
75904037.475585938,75.904037475586,-95962.5244141,-48.0312638889,-98.6737459302,-92.1449093832,-92.8286603943,-94.6914723793,-92.0365474718
75904182.434082031,75.904182434082,-95817.565918,-48.0443944192,-98.4764307419,-92.5335098434,-93.1502935802,-94.6514822055,-91.9810837646
75904327.392578125,75.904327392578,-95672.6074219,-48.0575448294,-98.2019248325,-92.5295043577,-94.3505172282,-94.1134679723,-92.1046549719
75904472.351074219,75.904472351074,-95527.6489258,-48.0707151798,-97.2889494115,-92.8256475553,-93.3865099132,-95.0631567981,-91.9476032034
75904617.309570312,75.904617309570,-95382.6904297,-48.0839055309,-97.7598190012,-93.1609131271,-92.8568024923,-94.1479579942,-94.3995953256
75904762.268066406,75.904762268066,-95237.7319336,-48.0971159437,-97.6420815471,-93.3649268328,-93.400102772,-94.002750008,-93.6726453686
75904907.2265625,75.904907226562,-95092.7734375,-48.1103464791,-97.3754136795,-93.387307891,-93.9122885624,-94.8954470655,-91.3766802883
75905052.185058594,75.905052185059,-94947.8149414,-48.1235971986,-98.0224618204,-92.7818541492,-94.5503481298,-95.6539275322,-92.3284230739
75905197.143554688,75.905197143555,-94802.8564453,-48.136868164,-97.7496089216,-93.0596715063,-94.769628604,-94.5703608251,-91.4506837229
75905342.102050781,75.905342102051,-94657.8979492,-48.150159437,-96.9658466119,-93.6813111747,-94.8532191701,-95.0503515641,-92.6155734274
75905487.060546875,75.905487060547,-94512.9394531,-48.16347108,-97.8526457311,-93.9810899889,-95.0318536009,-95.0100145358,-92.1479134659
75905632.019042969,75.905632019043,-94367.980957,-48.1768031556,-98.4808914484,-94.027552957,-93.9329246726,-93.5425095939,-92.5214721573
75905776.977539062,75.905776977539,-94223.0224609,-48.1901557265,-99.667623897,-93.8302628761,-94.8533572468,-94.1093318322,-92.3294201956
75905921.936035156,75.905921936035,-94078.0639648,-48.2035288558,-97.8782411587,-92.855778999,-95.2306962307,-94.4029187142,-91.8493571401
75906066.89453125,75.906066894531,-93933.1054688,-48.216922607,-96.3401109178,-92.8106361764,-94.6353328991,-93.8235968086,-92.2340576071
75906211.853027344,75.906211853027,-93788.1469727,-48.2303370437,-97.7686829818,-93.9278943134,-92.7780939757,-94.1999033593,-92.5334241785
75906356.811523438,75.906356811523,-93643.1884766,-48.24377223,-97.8724849242,-95.5994843317,-93.7166608627,-95.4256615895,-93.1261706238
75906501.770019531,75.906501770020,-93498.2299805,-48.2572282301,-98.530450136,-94.5481921444,-95.4678048551,-96.7877075579,-92.6538114524
75906646.728515625,75.906646728516,-93353.2714844,-48.2707051086,-98.6481840329,-94.1990504679,-94.9738665495,-96.190484427,-95.2315452293
75906791.687011719,75.906791687012,-93208.3129883,-48.2842029304,-98.100159333,-91.4950690154,-94.7630011818,-95.5712518815,-93.8198770209
75906936.645507812,75.906936645508,-93063.3544922,-48.2977217607,-97.805346346,-91.7407527292,-94.3829468457,-95.4642442721,-92.1908926081
75907081.604003906,75.907081604004,-92918.3959961,-48.311261665,-97.9591327565,-93.6490003248,-93.948588455,-95.609372154,-92.4798401381
75907226.5625,75.907226562500,-92773.4375,-48.3248227091,-98.3917936195,-93.4895823438,-93.7454915109,-95.0384774712,-92.2084638745
75907371.520996094,75.907371520996,-92628.4790039,-48.3384049591,-98.3052645731,-92.9768783514,-95.265602218,-94.8367917909,-91.8351342139
75907516.479492188,75.907516479492,-92483.5205078,-48.3520084815,-98.2229316562,-91.7396616118,-95.0328876527,-95.1509804281,-92.6698339262
75907661.437988281,75.907661437988,-92338.5620117,-48.365633343,-99.0210802188,-92.2780159945,-94.5601449696,-94.7382794703,-91.8715167253
75907806.396484375,75.907806396484,-92193.6035156,-48.3792796105,-98.7536918466,-94.1752759702,-94.0461516107,-94.6962789954,-91.7971012539
75907951.354980469,75.907951354980,-92048.6450195,-48.3929473516,-97.9533380883,-93.7755550002,-94.4437335801,-94.938531893,-91.9466269416
75908096.313476562,75.908096313477,-91903.6865234,-48.4066366338,-98.7938473155,-93.4022904065,-94.3616275348,-96.3463470852,-93.3164361188
75908241.271972656,75.908241271973,-91758.7280273,-48.4203475253,-99.4772526732,-94.3265985099,-93.1290846732,-96.3012258364,-92.4376142028
75908386.23046875,75.908386230469,-91613.7695312,-48.4340800942,-99.0808207379,-94.0983727509,-92.77733412,-94.9566276367,-93.7698274251
75908531.188964844,75.908531188965,-91468.8110352,-48.4478344093,-98.6102809601,-93.7689450516,-94.1776434723,-94.8089588873,-93.2847904112
75908676.147460938,75.908676147461,-91323.8525391,-48.4616105396,-97.8287295674,-95.1418530421,-95.3137817865,-95.151183321,-93.1101293353
75908821.105957031,75.908821105957,-91178.894043,-48.4754085543,-97.8732643482,-94.614792657,-95.1683885943,-94.232421878,-92.6148249049
75908966.064453125,75.908966064453,-91033.9355469,-48.4892285231,-97.8116304663,-92.5963608204,-95.4573625238,-95.0391941855,-93.4304047402
75909111.022949219,75.909111022949,-90888.9770508,-48.503070516,-98.0332377077,-92.9316678203,-93.80001886,-95.3572847471,-93.7791322467
75909255.981445312,75.909255981445,-90744.0185547,-48.5169346033,-98.1730287969,-93.3100043799,-93.5547862303,-94.6141622786,-92.9601708487
75909400.939941406,75.909400939941,-90599.0600586,-48.5308208556,-98.3848297278,-93.6353399704,-93.7101793935,-95.9738323271,-92.4601289234
75909545.8984375,75.909545898438,-90454.1015625,-48.5447293439,-97.9747985403,-94.4733331567,-94.9050450125,-96.600197949,-93.6148965425
75909690.856933594,75.909690856934,-90309.1430664,-48.5586601396,-97.6617631654,-94.538280711,-97.0282404683,-94.9038031584,-93.4482962711
75909835.815429688,75.909835815430,-90164.1845703,-48.5726133142,-97.9855698407,-92.7778373137,-94.5900214828,-94.537533442,-93.2229995697
75909980.773925781,75.909980773926,-90019.2260742,-48.5865889399,-98.2114916801,-92.4587750943,-93.6592703355,-94.646071222,-93.714185072
75910125.732421875,75.910125732422,-89874.2675781,-48.600587089,-97.9703181845,-93.19712651,-94.0107912372,-94.1920972413,-92.3790750934
75910270.690917969,75.910270690918,-89729.309082,-48.6146078341,-98.2203012244,-93.2951665135,-94.6234265561,-93.2983295002,-92.1599490572
75910415.649414062,75.910415649414,-89584.3505859,-48.6286512485,-96.9272831539,-94.3569594081,-94.824125771,-94.6018740779,-92.1250990287
75910560.607910156,75.910560607910,-89439.3920898,-48.6427174054,-97.2213940335,-94.1956991037,-94.4587828652,-94.8070169416,-94.0575158712
75910705.56640625,75.910705566406,-89294.4335938,-48.6568063787,-99.4810883635,-93.0824610935,-96.6069026502,-94.7451974597,-93.8727331543
75910850.524902344,75.910850524902,-89149.4750977,-48.6709182425,-97.969050927,-93.3757447263,-94.8006095161,-95.5566317921,-93.2969479406
75910995.483398438,75.910995483398,-89004.5166016,-48.6850530713,-97.4966636488,-92.6489779745,-94.6469187144,-96.465086842,-94.2318320127
75911140.441894531,75.911140441895,-88859.5581055,-48.6992109399,-97.8943425484,-93.1580665538,-94.5146761728,-96.4351541351,-93.7429450313
75911285.400390625,75.911285400391,-88714.5996094,-48.7133919237,-98.0424654918,-93.458273916,-94.8682661374,-97.3879206813,-92.517914211
75911430.358886719,75.911430358887,-88569.6411133,-48.7275960982,-97.2351108137,-93.8729790725,-95.4370820562,-97.3020709804,-91.8816668916
75911575.317382812,75.911575317383,-88424.6826172,-48.7418235394,-97.1697333318,-94.9161979392,-94.8982938246,-96.074678098,-92.021218317
75911720.275878906,75.911720275879,-88279.7241211,-48.7560743236,-98.056271909,-95.0093912834,-95.2171678251,-96.3536648755,-93.0776843688
75911865.234375,75.911865234375,-88134.765625,-48.7703485275,-98.6293473883,-94.8775743795,-94.4191667112,-94.9904565333,-93.4965935731
75912010.192871094,75.912010192871,-87989.8071289,-48.7846462283,-98.3911647467,-95.0452597913,-94.5845410327,-94.200336,-93.6504914617
75912155.151367188,75.912155151367,-87844.8486328,-48.7989675035,-98.4094951418,-93.9625591669,-95.2832428447,-95.0895821085,-94.5688745597
75912300.109863281,75.912300109863,-87699.8901367,-48.8133124308,-97.7242570693,-92.6145412911,-95.3829391443,-96.3010677826,-93.7052942481
75912445.068359375,75.912445068359,-87554.9316406,-48.8276810886,-99.1605671454,-92.1975292655,-95.1272082602,-94.5005919258,-93.9206577923
75912590.026855469,75.912590026855,-87409.9731445,-48.8420735555,-98.904875578,-92.5632967549,-95.9258451254,-94.2435299711,-94.3288444992
75912734.985351562,75.912734985352,-87265.0146484,-48.8564899105,-98.8296291846,-94.5536441293,-94.6043822527,-95.2557448688,-93.6283666627
75912879.943847656,75.912879943848,-87120.0561523,-48.870930233,-98.2786669486,-94.4119604759,-94.3029325864,-95.8353365714,-93.5979376885
75913024.90234375,75.913024902344,-86975.0976562,-48.885394603,-99.7630476964,-93.8296036074,-94.1819028722,-95.352629506,-93.0997031657
75913169.860839844,75.913169860840,-86830.1391602,-48.8998831006,-98.4686170399,-92.7893260244,-94.0539625063,-94.6766801562,-92.4698524285
75913314.819335938,75.913314819336,-86685.1806641,-48.9143958064,-97.4791482666,-93.233258933,-94.4513305113,-95.6284269489,-92.4358053015
75913459.777832031,75.913459777832,-86540.222168,-48.9289328014,-98.0789329303,-93.9294153862,-95.7768602161,-95.1403987248,-92.8970164335
75913604.736328125,75.913604736328,-86395.2636719,-48.9434941672,-98.6274343566,-94.2773419953,-96.3930755013,-94.0240978353,-92.5197807163
75913749.694824219,75.913749694824,-86250.3051758,-48.9580799855,-98.5754189322,-94.9227691185,-94.8002088048,-94.2064980612,-93.3764376293
75913894.653320312,75.913894653320,-86105.3466797,-48.9726903387,-98.2577810791,-94.5755819969,-94.9100785907,-94.4508440617,-93.5880063038
75914039.611816406,75.914039611816,-85960.3881836,-48.9873253093,-98.2517361239,-94.3324264381,-95.9170491773,-95.2181525419,-93.5332326836
75914184.5703125,75.914184570312,-85815.4296875,-49.0019849805,-98.3262349944,-93.5501955568,-96.5661510092,-95.9352767117,-93.9028053676
75914329.528808594,75.914329528809,-85670.4711914,-49.0166694359,-99.0143106011,-94.3569433617,-96.1770382898,-96.0872146511,-94.664458348
75914474.487304688,75.914474487305,-85525.5126953,-49.0313787593,-99.9494240227,-94.5481621526,-95.1366673082,-95.9146761218,-94.060245018
75914619.445800781,75.914619445801,-85380.5541992,-49.0461130351,-99.507213326,-94.9168248283,-95.1959360348,-96.088546579,-95.1193159271
75914764.404296875,75.914764404297,-85235.5957031,-49.0608723481,-99.415999485,-94.5617041923,-95.249037035,-94.8397807166,-93.9649351866
75914909.362792969,75.914909362793,-85090.637207,-49.0756567836,-98.8246531753,-94.0048816325,-95.3353077476,-94.5057035098,-93.1358240856
75915054.321289062,75.915054321289,-84945.6787109,-49.0904664273,-99.3042191041,-94.4589510057,-94.7524493555,-95.3945125321,-92.4790296522
