Frequency_Hz,Frequency_MHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959,20260522_135524
75900123.596191406,75.900123596191,1.1179547841653359e-05,3.1761572814808339e-05,2.9895961651716365e-05,2.3035999391584522e-05,4.1329650734935972e-05,2.0191204683615699e-05
75900268.5546875,75.900268554688,1.2040320989549485e-05,1.8182319768885409e-05,2.5825031934195361e-05,2.3777648656275824e-05,4.2541286941853021e-05,1.8291214756744524e-05
75900413.513183594,75.900413513184,1.3244747655806361e-05,2.3492157137590627e-05,2.2590682707061614e-05,2.1284434314216083e-05,4.5883850392277566e-05,2.0124620653961631e-05
75900558.471679688,75.900558471680,1.2020342929280535e-05,3.4493036529212079e-05,1.7758423288199964e-05,2.1301503423062692e-05,4.6313086866685904e-05,2.6218483537139438e-05
75900703.430175781,75.900703430176,1.2526255801971466e-05,3.2952746890001634e-05,1.9947874911726774e-05,2.1299959423966964e-05,3.7260207628539374e-05,2.0216565936364528e-05
75900848.388671875,75.900848388672,8.5641454578222428e-06,2.4247379617542489e-05,3.0411983769333029e-05,1.6261608990470939e-05,2.550704248521433e-05,2.0437840683986646e-05
75900993.347167969,75.900993347168,9.1162569568790402e-06,3.2888004893489782e-05,3.185796718610384e-05,2.1972738947820213e-05,2.3769644382827241e-05,2.2139307031646671e-05
75901138.305664062,75.901138305664,1.2661544027162625e-05,2.6461263138849089e-05,2.8887505060277786e-05,2.5092036798612598e-05,3.6119140606612031e-05,1.7655842796546266e-05
75901283.264160156,75.901283264160,1.1074151006445801e-05,3.0679704205699649e-05,2.3288695965683079e-05,2.3377786985760098e-05,3.6432609023406704e-05,1.9277443713425345e-05
75901428.22265625,75.901428222656,8.5599430621082285e-06,4.1082385697098192e-05,2.0972579708523218e-05,3.1266312619048712e-05,3.189315692681219e-05,2.1168648923630005e-05
75901573.181152344,75.901573181152,1.3513015850022574e-05,3.4959346832968441e-05,1.937253335944236e-05,3.1763130087591666e-05,3.0178837284041942e-05,1.8851528972354928e-05
75901718.139648438,75.901718139648,1.2513718832570715e-05,3.823842677325812e-05,1.7503184777292589e-05,3.3056261808857088e-05,4.2602941807175355e-05,2.2631222553185076e-05
75901863.098144531,75.901863098145,1.1962490575076267e-05,3.4633181505242306e-05,2.0702067966576245e-05,3.0061733609398197e-05,2.8755001838383715e-05,2.1934119426352617e-05
75902008.056640625,75.902008056641,1.2627427635827675e-05,3.4477199639437084e-05,3.0504993598327819e-05,2.629252534152399e-05,2.9914888563757141e-05,1.8771443998777689e-05
75902153.015136719,75.902153015137,1.102077251428057e-05,3.2538378002803896e-05,2.7537345483230861e-05,2.041885033524025e-05,3.2390747997496631e-05,2.4344906882441897e-05
75902297.973632812,75.902297973633,1.2138357955892667e-05,3.8676665980985353e-05,3.6578321635222505e-05,2.3662883486560628e-05,3.2071188524565837e-05,2.4559854715216514e-05
75902442.932128906,75.902442932129,1.4183777926124203e-05,3.6651638248727671e-05,2.8569424872355892e-05,2.6311670939400473e-05,2.8385641738746067e-05,1.7538816982868984e-05
75902587.890625,75.902587890625,1.1497533734668097e-05,4.1547350866191638e-05,2.5639394839978024e-05,2.0847605652199761e-05,3.3630072238639504e-05,1.8081610388649183e-05
75902732.849121094,75.902732849121,1.0249231675718321e-05,4.9458257949806256e-05,2.4418254559590457e-05,2.072651968052869e-05,2.8736121902145598e-05,2.0554661180918684e-05
75902877.807617188,75.902877807617,1.1074250495355244e-05,4.5753920741502546e-05,3.3892934284360793e-05,2.6498759226971808e-05,3.0547554496247249e-05,2.0083714546630175e-05
75903022.766113281,75.903022766113,1.2050268731769589e-05,3.2126811190455042e-05,3.0199069602014754e-05,2.2448837431232258e-05,3.2502848704014471e-05,1.9836097194235283e-05
75903167.724609375,75.903167724609,1.3165377800384781e-05,3.0891672512046241e-05,2.5780881314155468e-05,2.395558513828026e-05,3.8467744075127829e-05,2.3462818110510008e-05
75903312.683105469,75.903312683105,1.1102053943419266e-05,3.6330759757899659e-05,2.138789491228703e-05,2.0752692068483281e-05,2.9010200541124443e-05,2.4935056553770775e-05
75903457.641601562,75.903457641602,1.2735410827881935e-05,2.7882224873309232e-05,2.1914240347913146e-05,2.6481753244412027e-05,3.1076438891088286e-05,1.9845218958054755e-05
75903602.600097656,75.903602600098,1.5527687010380346e-05,2.438574682621023e-05,2.7788744353930251e-05,2.9125470706409468e-05,3.7621307781467933e-05,1.8812130772877264e-05
75903747.55859375,75.903747558594,1.3660265123032557e-05,2.4238444179509048e-05,3.0688674296884023e-05,2.3194683229080616e-05,3.798012308257288e-05,2.3065077623721226e-05
75903892.517089844,75.903892517090,1.0411522164054355e-05,3.157210169194374e-05,2.910790655883457e-05,2.1915683216343014e-05,3.3484162377573864e-05,2.7210662254592991e-05
75904037.475585938,75.904037475586,8.6248548682285324e-06,3.8782468691708737e-05,3.3132968641555767e-05,2.1576408254513747e-05,3.9762313187807329e-05,3.0082156351102889e-05
75904182.434082031,75.904182434082,9.0530801997733051e-06,3.5570376132664667e-05,3.0861006348904226e-05,2.1841940583607169e-05,4.0395321174038972e-05,3.0994441071280792e-05
75904327.392578125,75.904327392578,9.6730180838639372e-06,3.571116736964833e-05,2.348025235090958e-05,2.4797487825146299e-05,3.9381203644091229e-05,2.7123720955896472e-05
75904472.351074219,75.904472351074,1.1972272048156915e-05,3.3458522767822443e-05,2.9404955510874855e-05,1.998737856509254e-05,4.0955402425072354e-05,1.6260438837704792e-05
75904617.309570312,75.904617309570,1.077478599162927e-05,3.1066994489244607e-05,3.3320407483958928e-05,2.4751114182954823e-05,2.3357750790722795e-05,1.4420711110359627e-05
75904762.268066406,75.904762268066,1.1104613302596162e-05,2.9731643114988039e-05,2.9491802520036867e-05,2.567063392835381e-05,2.7697913682595958e-05,2.2216280876153911e-05
75904907.2265625,75.904907226562,1.1843860403143992e-05,2.9669064915614181e-05,2.6290920484245247e-05,2.0964762235113736e-05,4.7137507995799193e-05,2.373453375596022e-05
75905052.185058594,75.905052185059,1.0235605472454317e-05,3.421167241851307e-05,2.276800126579249e-05,1.7659034972427215e-05,3.797671649412275e-05,2.4662630203334279e-05
75905197.143554688,75.905197143555,1.0932662070495841e-05,3.2189902834790652e-05,2.1713206166330153e-05,2.2732684989290619e-05,4.6624956980854403e-05,2.7790400211978449e-05
75905342.102050781,75.905342102051,1.313503645646582e-05,2.7982391354359083e-05,2.1364563624335721e-05,2.0416476224356749e-05,3.5765030600708966e-05,1.9177950804020826e-05
75905487.060546875,75.905487060547,1.0741935365573295e-05,2.6196188638380389e-05,2.0566564310781388e-05,2.067024643564646e-05,3.9953585657828252e-05,2.3389617895772189e-05
75905632.019042969,75.905632019043,9.3237618198631546e-06,2.5997106891652727e-05,2.6569773262213384e-05,2.9068950754748917e-05,3.6773341917799658e-05,2.5083011766379141e-05
75905776.977539062,75.905776977539,7.1162825442996321e-06,2.7289104539706216e-05,2.1561543551104804e-05,2.5590713188368185e-05,3.8554364867654391e-05,2.3832394530311004e-05
75905921.936035156,75.905921936035,1.0777766483332774e-05,3.425902395414803e-05,1.9828198707078289e-05,2.3991699554096499e-05,4.3193378156190123e-05,2.3062630813756787e-05
75906066.89453125,75.906066894531,1.5405690509468546e-05,3.4723911690116419e-05,2.2811769297649522e-05,2.7499992781659387e-05,3.9653954139436915e-05,2.4949361974445468e-05
75906211.853027344,75.906211853027,1.112155224092529e-05,2.6930491089047162e-05,3.5093307899900811e-05,2.5295505835641159e-05,3.7127122118942019e-05,2.0729108885272053e-05
75906356.811523438,75.906356811523,1.0892529143166788e-05,1.8383524991236488e-05,2.8360320645238584e-05,1.9134233261320429e-05,3.2490781729536303e-05,2.1430694441777083e-05
75906501.770019531,75.906501770020,9.3902641537410086e-06,2.3491113789363277e-05,1.9008258851573431e-05,1.4026588855265233e-05,3.6336381597133658e-05,3.0776833058172478e-05
75906646.728515625,75.906646728516,9.1675250971308232e-06,2.553674054602529e-05,2.1364063291712489e-05,1.6144405906292847e-05,2.0133347427608552e-05,2.1611198789986449e-05
75906791.687011719,75.906791687012,1.0432883546296166e-05,4.7743405261678789e-05,2.2496770342036155e-05,1.8676483345040125e-05,2.795326817044014e-05,2.357825686069998e-05
75906936.645507812,75.906936645508,1.1200503380675569e-05,4.5258161010516422e-05,2.4630741793464676e-05,1.9202056749132967e-05,4.0802137519386937e-05,2.2346583312337549e-05
75907081.604003906,75.907081604004,1.0844583844898573e-05,2.9256753594586438e-05,2.7306580658227039e-05,1.8628974623367304e-05,3.8295006951090208e-05,1.5021156578148936e-05
75907226.5625,75.907226562500,9.846976669942363e-06,3.0445564899028109e-05,2.8703385235748415e-05,2.1312506254803529e-05,4.0891767558379891e-05,1.4084364901045697e-05
75907371.520996094,75.907371520996,1.0076600450733698e-05,3.4367873470336091e-05,2.028991717028934e-05,2.2395528564124186e-05,4.4702012383218095e-05,2.0039411120578884e-05
75907516.479492188,75.907516479492,1.0301671157600081e-05,4.5838952741094619e-05,2.1473957185603313e-05,2.0897907634805313e-05,3.7001340276724556e-05,1.7731750011651973e-05
