Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-9857.17773438,75990142.822265625,8,-67.7982228846
-9712.21923828,75990287.780761719,8,-67.9269050777
-9567.26074219,75990432.739257812,8,-68.057522414
-9422.30224609,75990577.697753906,8,-68.1901339852
-9277.34375,75990722.65625,8,-68.3248016317
-9132.38525391,75990867.614746094,8,-68.4615901157
-8987.42675781,75991012.573242188,8,-68.6005673083
-8842.46826172,75991157.531738281,8,-68.7418043916
-8697.50976562,75991302.490234375,8,-68.8853760779
-8552.55126953,75991447.448730469,8,-69.0313608465
-8407.59277344,75991592.407226562,8,-69.179841202
-8262.63427734,75991737.365722656,8,-69.3309039539
-8117.67578125,75991882.32421875,8,-69.4846405213
-7972.71728516,75992027.282714844,8,-69.6411472658
-7827.75878906,75992172.241210938,8,-69.8005258535
-7682.80029297,75992317.199707031,8,-69.9628836524
-7537.84179688,75992462.158203125,8,-70.1283341663
-7392.88330078,75992607.116699219,8,-70.2969975117
-7247.92480469,75992752.075195312,8,-70.4690009417
-7102.96630859,75992897.033691406,8,-70.6444794227
-6958.0078125,75993041.9921875,8,-70.8235762707
-6813.04931641,75993186.950683594,8,-71.0064438545
-6668.09082031,75993331.909179688,8,-71.1932443748
-6523.13232422,75993476.867675781,8,-71.3841507282
-6378.17382812,75993621.826171875,8,-71.5793474693
-6233.21533203,75993766.784667969,8,-71.7790318829
-6088.25683594,75993911.743164062,8,-71.9834151822
-5943.29833984,75994056.701660156,8,-72.1927238514
-5798.33984375,75994201.66015625,8,-72.407201155
-5653.38134766,75994346.618652344,8,-72.627108837
-5508.42285156,75994491.577148438,8,-72.8527290411
-5363.46435547,75994636.535644531,8,-73.0843664882
-5218.50585938,75994781.494140625,8,-73.3223509504
-5073.54736328,75994926.452636719,8,-73.5670400751
-4928.58886719,75995071.411132812,8,-73.8188226177
-4783.63037109,75995216.369628906,8,-74.0781221575
-4638.671875,75995361.328125,8,-74.3454013853
-4493.71337891,75995506.286621094,8,-74.6211670717
-4348.75488281,75995651.245117188,8,-74.9059758508
-4203.79638672,75995796.203613281,8,-75.2004409842
-4058.83789062,75995941.162109375,8,-75.5052403123
-3913.87939453,75996086.120605469,8,-75.8211256531
-3768.92089844,75996231.079101562,8,-76.1489339742
-3623.96240234,75996376.037597656,8,-76.4896007575
-3479.00390625,75996520.99609375,8,-76.8441760941
-3334.04541016,75996665.954589844,8,-77.2138442056
-3189.08691406,75996810.913085938,8,-77.5999473071
-3044.12841797,75996955.871582031,8,-78.0040150267
-2899.16992188,75997100.830078125,8,-78.4278010059
-2754.21142578,75997245.788574219,8,-78.8733288981
-2609.25292969,75997390.747070312,8,-79.3429508132
-2464.29443359,75997535.705566406,8,-79.8394224859
-2319.3359375,75997680.6640625,8,-80.3660012586
-2174.37744141,75997825.622558594,8,-80.926575729
-2029.41894531,75997970.581054688,8,-81.5258401951
-1884.46044922,75998115.539550781,8,-82.1695338611
-1739.50195312,75998260.498046875,8,-82.864775985
-1594.54345703,75998405.456542969,8,-83.6205472015
-1449.58496094,75998550.415039062,8,-84.4484009036
-1304.62646484,75998695.373535156,8,-85.3635507138
-1159.66796875,75998840.33203125,8,-86.3866011619
-1014.70947266,75998985.290527344,8,-87.5464401006
-869.750976562,75999130.249023438,8,-88.8853758926
-724.792480469,75999275.207519531,8,-90.4690008129
-579.833984375,75999420.166015625,8,-92.4072010727
-434.875488281,75999565.124511719,8,-94.9059758044
-289.916992188,75999710.083007812,8,-98.4278009853
-144.958496094,75999855.041503906,8,-104.448400898
0,76000000,8,-160
144.958496094,76000144.958496094,8,-104.448400898
289.916992188,76000289.916992188,8,-98.4278009855
434.875488281,76000434.875488281,8,-94.9059758045
579.833984375,76000579.833984375,8,-92.4072010728
724.792480469,76000724.792480469,8,-90.469000813
869.750976562,76000869.750976562,8,-88.8853758927
1014.70947266,76001014.709472656,8,-87.5464401007
1159.66796875,76001159.66796875,8,-86.386601162
1304.62646484,76001304.626464844,8,-85.3635507139
1449.58496094,76001449.584960938,8,-84.4484009037
1594.54345703,76001594.543457031,8,-83.6205472016
1739.50195312,76001739.501953125,8,-82.864775985
1884.46044922,76001884.460449219,8,-82.1695338611
2029.41894531,76002029.418945312,8,-81.5258401951
2174.37744141,76002174.377441406,8,-80.926575729
2319.3359375,76002319.3359375,8,-80.3660012586
2464.29443359,76002464.294433594,8,-79.8394224859
2609.25292969,76002609.252929688,8,-79.3429508132
2754.21142578,76002754.211425781,8,-78.8733288981
2899.16992188,76002899.169921875,8,-78.4278010059
3044.12841797,76003044.128417969,8,-78.0040150267
3189.08691406,76003189.086914062,8,-77.5999473071
3334.04541016,76003334.045410156,8,-77.2138442056
3479.00390625,76003479.00390625,8,-76.8441760941
3623.96240234,76003623.962402344,8,-76.4896007575
3768.92089844,76003768.920898438,8,-76.1489339741
3913.87939453,76003913.879394531,8,-75.8211256532
4058.83789062,76004058.837890625,8,-75.5052403124
4203.79638672,76004203.796386719,8,-75.2004409842
4348.75488281,76004348.754882812,8,-74.9059758508
4493.71337891,76004493.713378906,8,-74.6211670717
4638.671875,76004638.671875,8,-74.3454013853
4783.63037109,76004783.630371094,8,-74.0781221575
4928.58886719,76004928.588867188,8,-73.8188226177
5073.54736328,76005073.547363281,8,-73.5670400751
5218.50585938,76005218.505859375,8,-73.3223509504
5363.46435547,76005363.464355469,8,-73.0843664882
5508.42285156,76005508.422851562,8,-72.8527290412
5653.38134766,76005653.381347656,8,-72.627108837
5798.33984375,76005798.33984375,8,-72.407201155
5943.29833984,76005943.298339844,8,-72.1927238514
6088.25683594,76006088.256835938,8,-71.9834151822
6233.21533203,76006233.215332031,8,-71.779031883
6378.17382812,76006378.173828125,8,-71.5793474693
