Frequency_Hz,Frequency_MHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509
75990142.822265625,75.990142822266,1.2040419768180773e-05,4.4334974174959192e-05,0.00010720565348521511,8.4251662627852304e-05
75990287.780761719,75.990287780762,8.6658631664263124e-06,5.6354365420881091e-05,0.00015999174107659409,0.00011356628804973981
75990432.739257812,75.990432739258,1.1515686067021869e-05,4.2074633263463292e-05,0.00029122648529138385,0.00018095312795540419
75990577.697753906,75.990577697754,1.3957694896903981e-05,3.9000811510747814e-05,0.00019831308100469916,0.00010945772030643901
75990722.65625,75.990722656250,1.3065194395618912e-05,3.6542947135186276e-05,8.7654386953152353e-05,6.9427104636894782e-05
75990867.614746094,75.990867614746,1.3365263004555402e-05,4.060172895217879e-05,9.1405564847675289e-05,6.4519419660540893e-05
75991012.573242188,75.991012573242,1.024048117629526e-05,3.5901073230498584e-05,6.7026525412935454e-05,4.5771345716725314e-05
75991157.531738281,75.991157531738,9.953456865354802e-06,3.8768238645263597e-05,0.00013064249368118088,6.5075882103561198e-05
75991302.490234375,75.991302490234,9.7877430550926988e-06,4.6984957193439056e-05,0.0002159541964282681,7.1760344202848763e-05
75991447.448730469,75.991447448730,1.2211735653705679e-05,4.0026594115871164e-05,0.00020104740737814507,9.6717618624416724e-05
75991592.407226562,75.991592407227,1.1915076578870012e-05,4.1097942879679244e-05,0.00097687360092197132,0.00037601961741090436
75991737.365722656,75.991737365723,1.0757140815089651e-05,4.846849513632636e-05,0.0039710764600189904,0.0017903265879089965
75991882.32421875,75.991882324219,1.0443190077197137e-05,4.7775083058766356e-05,0.0052337354717363989,0.0022592698965117528
75992027.282714844,75.992027282715,1.0711682690324524e-05,4.1591329893847593e-05,0.002542753220792178,0.0012374048381683614
75992172.241210938,75.992172241211,1.1560558926536504e-05,3.9738187080656859e-05,0.00065871616929836629,0.00049767669501523152
75992317.199707031,75.992317199707,1.2045456560462226e-05,5.7490640897084542e-05,0.0068699444281609106,0.0037532416511316556
75992462.158203125,75.992462158203,1.1163037643601057e-05,3.8156707534952073e-05,0.0069924607310475678,0.0041096684973645197
75992607.116699219,75.992607116699,1.0528430822918166e-05,3.5229206800446109e-05,0.00039606041986125302,0.00033148693300981191
75992752.075195312,75.992752075195,1.2107088618969211e-05,5.5699823230195028e-05,0.0002060978124412079,0.00014737117594699231
75992897.033691406,75.992897033691,1.5015260698833517e-05,5.2528565622534727e-05,7.1478200655783746e-05,5.4590328871290963e-05
75993041.9921875,75.993041992188,1.0073596060253564e-05,4.2402485201999304e-05,6.0855671060801151e-05,5.1488813156142619e-05
75993186.950683594,75.993186950684,1.1242425551525499e-05,5.5302462472336949e-05,7.5790000770149099e-05,6.0808626525012946e-05
75993331.909179688,75.993331909180,1.3347450087460804e-05,4.2647563189318396e-05,0.00010278175607126863,9.8036548062913881e-05
75993476.867675781,75.993476867676,1.1147035699465702e-05,6.0143128546611693e-05,0.00014566683833677418,0.00013729415043271491
75993621.826171875,75.993621826172,1.1050115733821392e-05,8.9856727021027231e-05,0.00015136410984645775,0.00014489384383063262
75993766.784667969,75.993766784668,1.3098254372220697e-05,0.0001333012986279776,0.00069872326657126674,0.00041850078471785789
75993911.743164062,75.993911743164,1.1534571689166054e-05,0.00012516886865046741,0.002402908777059566,0.0013394485309296102
75994056.701660156,75.994056701660,8.2743878443364918e-06,7.4047139583414073e-05,0.0043767118785899379,0.0023582610964509938
75994201.66015625,75.994201660156,9.096868786543509e-06,7.2903907803517379e-05,0.0031295706016800555,0.0013068181593234925
75994346.618652344,75.994346618652,8.2362269978713585e-06,5.7852992056167108e-05,0.030468397696487619,0.017809993314420888
75994491.577148438,75.994491577148,1.4278985152521197e-05,5.1744531892944881e-05,0.15519300475063944,0.10786838222704875
75994636.535644531,75.994636535645,1.2597502431409845e-05,3.6735785220466204e-05,0.14671105182673816,0.10706003156793675
75994781.494140625,75.994781494141,1.0473410876347998e-05,4.5008267022579985e-05,0.040229469680842324,0.023278130359166628
75994926.452636719,75.994926452637,1.1759416247167941e-05,9.0776550637144103e-05,0.0067329867611197903,0.0028649047824530712
75995071.411132812,75.995071411133,1.223115244723491e-05,9.0663337034351744e-05,0.0010692614293457072,0.00051061915042352414
75995216.369628906,75.995216369629,1.3140613521415369e-05,8.138461984518739e-05,0.0011846507033176613,0.00051589641107074489
75995361.328125,75.995361328125,1.0429296629755225e-05,5.3205636552126395e-05,0.0095228226993530965,0.0042151789603725983
75995506.286621094,75.995506286621,8.9723557738147731e-06,5.7663954269427726e-05,0.03634390079804807,0.020836753899214123
75995651.245117188,75.995651245117,1.2313463824984268e-05,6.1711491794382066e-05,0.046989077148131247,0.016974491840126699
75995796.203613281,75.995796203613,1.5099305892443508e-05,6.1271745913405481e-05,0.20655137557960074,0.095094188350558453
75995941.162109375,75.995941162109,1.4547306686073394e-05,7.4525728952203079e-05,0.52354733859572022,0.27567863578063795
75996086.120605469,75.996086120605,1.25166029222949e-05,8.7499114864711435e-05,0.60111307057466223,0.25488364921257045
75996231.079101562,75.996231079102,1.1313899824174817e-05,7.3604465490210649e-05,0.95780022134467913,0.4165007134540416
75996376.037597656,75.996376037598,1.1255298785406408e-05,9.4430661555718452e-05,0.34993022264026447,0.16442320737787919
75996520.99609375,75.996520996094,1.0328967419475561e-05,0.00013151837475136905,0.041564050365606564,0.018754797186450622
75996665.954589844,75.996665954590,1.2679219588753971e-05,0.0001802610242024543,0.20497018752155954,0.093496751251775159
75996810.913085938,75.996810913086,1.3237437612874696e-05,0.00015559299619068146,0.2239713012603094,0.10738279695734156
75996955.871582031,75.996955871582,1.2011963852952513e-05,0.00020694222000954045,0.033777847060979353,0.016700019691746351
75997100.830078125,75.997100830078,1.3504977557955091e-05,0.0001711885716539088,0.012026021360296605,0.0083440109079387769
75997245.788574219,75.997245788574,1.5075262304042941e-05,0.00019519739394577057,0.030250988118440476,0.017567649228531972
75997390.747070312,75.997390747070,9.9959378578711792e-06,0.00014779268170242947,0.042823046280714067,0.026496580441533881
75997535.705566406,75.997535705566,1.1357050413653012e-05,0.0013360055240877874,0.046545718783576107,0.023180212482613673
75997680.6640625,75.997680664062,1.2556427620408734e-05,0.011081608754897878,0.033735804988025239,0.015172812542943868
75997825.622558594,75.997825622559,1.2053497887310263e-05,0.0097993130743875504,0.0062532986889488598,0.0035817416046226248
75997970.581054688,75.997970581055,1.2170396478740278e-05,0.0034902315200333461,0.0013109102832988457,0.0013049332056213644
75998115.539550781,75.998115539551,1.1928266596558375e-05,0.0030487376468651467,0.0021367988266886369,0.0027908131051157777
75998260.498046875,75.998260498047,9.892559721023959e-06,0.0020176418515499362,0.0070976463533012814,0.0094998881053624893
75998405.456542969,75.998405456543,1.1051088364034441e-05,0.0029491640951835414,0.014472646589018302,0.011028046958286037
75998550.415039062,75.998550415039,8.9839326958115569e-06,0.0084994137878152912,0.05892756919108369,0.030540832200034364
75998695.373535156,75.998695373535,9.9179288789557338e-06,0.012005133757015276,0.039258055352849403,0.020793733065222
75998840.33203125,75.998840332031,8.6054921691173029e-06,0.0074509541144126053,0.019885447714588254,0.018534758056202603
75998985.290527344,75.998985290527,1.0742560188166255e-05,0.0019416673764084916,0.032689088769461541,0.020885512873350824
75999130.249023438,75.999130249023,1.0898907935117617e-05,0.0039692328724328756,0.065573825541201072,0.040424390681694816
75999275.207519531,75.999275207520,1.2416083204559835e-05,0.011418060322600475,0.33100798716318613,0.2021411438091256
75999420.166015625,75.999420166016,1.1856597393641109e-05,0.012252165888366185,0.80593950803655234,0.45767887828833886
75999565.124511719,75.999565124512,1.0181993313962182e-05,0.039644837521447637,0.44917384027526086,0.27467695841424405
