run_name,measurement_note,raw_file,fft_length,measurement_physical_channels,channels_per_data_file,selected_data_file,selected_interleaved_channel,bin_spacing_hz,frames_used,nearest_76_bin_hz,nearest_76_offset_hz,psd_at_nearest_76_bin,local_peak_hz,local_peak_mhz,local_peak_offset_hz,local_peak_psd,local_median_psd,peak_to_local_median_ratio,ratio_vs_20260515_092941_at_76mhz,db_vs_20260515_092941_at_76mhz
20260515_092941,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_092941\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,5.3119232596614601e-05,76000000,76.000000000000,0,5.3119232596614601e-05,1.1050115733821392e-05,4.8071200226465605,1,0
20260515_130634,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 9.50 GB",D:\Quantum Squeezing Project\DataFiles\20260515_130634\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,22903.688280949722,76000000,76.000000000000,0,22903.688280949722,0.0014026395421242518,16328990.872639192,431175059.60373044,86.3465363207
20260515_130927,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 2.69 GB",D:\Quantum Squeezing Project\DataFiles\20260515_130927\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,1035942.1978195163,76000000,76.000000000000,0,1035942.1978195163,5.673978106592249e-05,18257775732.61903,19502205645.29652,102.900837316
20260515_131116,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 4.44 GB",D:\Quantum Squeezing Project\DataFiles\20260515_131116\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,1051555.9552146599,76000000,76.000000000000,0,1051555.9552146599,5.7561052403161143e-05,18268532476.604103,19796143577.602772,102.96580595
20260515_131246,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260515_131246\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,965836.1368186468,76000000,76.000000000000,0,965836.1368186468,4.756962784864994e-05,20303630288.881016,18182418864.240173,102.596516583
20260515_133100,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_133100\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,241320.17275270919,76000000,76.000000000000,0,241320.17275270919,7.3604465490210649e-05,3278607773.9373655,4542990569.6357708,96.573418353
20260515_134613,"Vacuum; single point position; tags: Alignment; single-point measurement; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 0.69 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134613\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,22,76000000,0,1114614.3515023508,76000000,76.000000000000,0,1114614.3515023508,0.067377019412478714,16542945.372497676,20983254030.921135,103.218728384
20260515_134951,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134951\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,46428.312016739888,76000000,76.000000000000,0,46428.312016739888,0.0069924607310475678,6639767.2868710244,874039585.04661942,89.4153110217
20260515_140509,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_140509\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,46153.298823693171,76000000,76.000000000000,0,46153.298823693171,0.0041096684973645197,11230418.914151037,868862304.05810905,89.3895095559
20260521_162959,"Vacuum; highpass filter; tags: Alignment; 780 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260521_162959\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,316941.13819978945,76000000,76.000000000000,0,316941.13819978945,0.00034634955392349223,915090360.61816609,5966598587.8717079,97.75726821
20260522_135524,"Vacuum; highpass filter; tags: Alignment; 780 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260522_135524\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76000000,0,185594.23446823558,76000000,76.000000000000,0,185594.23446823558,6.8006845983719342e-05,2729052226.7812028,3493917840.9754338,95.4331268839
