Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_Hz,OffsetFrom800kHzCenter_Hz,TwoTapFirAttenuation_dB,20260515_092941_PSD,20260515_133100_PSD,20260515_134951_PSD,20260515_140509_PSD,20260521_162959_PSD,20260515_092941_PSD_dB,20260515_133100_PSD_dB,20260515_134951_PSD_dB,20260515_140509_PSD_dB,20260521_162959_PSD_dB,20260515_092941_After2TapFir_dB,20260515_133100_After2TapFir_dB,20260515_134951_After2TapFir_dB,20260515_140509_After2TapFir_dB,20260521_162959_After2TapFir_dB
76700004.577636719,76.700004577637,700004.577637,-99995.4223633,-30.7724689213,8.9405912088412357e-06,3.0843082368398895e-05,2.4275832355627928e-05,1.9275151575394405e-05,3.3734792947585474e-05,-50.4863376194,-45.1084222632,-46.1482587033,-47.1500219807,-44.7192195105,-81.2588065406,-75.8808911844,-76.9207276245,-77.922490902,-75.4916884317
76700149.536132812,76.700149536133,700149.536133,-99850.4638672,-30.7706709163,1.4440721241534584e-05,2.9682261076379606e-05,2.9233114479039217e-05,2.4847410247626954e-05,4.9032488312823263e-05,-48.404111154,-45.2750301931,-45.341249127,-46.0471886946,-43.0951606651,-79.1747820703,-76.0457011094,-76.1119200433,-76.8178596109,-73.8658315814
76700294.494628906,76.700294494629,700294.494629,-99705.5053711,-30.7688732838,9.36028048734387e-06,3.1094370366170496e-05,2.4507604529295161e-05,2.4927634815338162e-05,5.5577645750140561e-05,-50.2871113713,-45.0731823285,-46.1069913634,-46.0331892628,-42.5509985373,-81.0559846551,-75.8420556123,-76.8758646472,-76.8020625467,-73.3198718211
76700439.453125,76.700439453125,700439.453125,-99560.546875,-30.7670760236,9.5203060620605716e-06,3.7140779190241694e-05,2.3282088347516255e-05,2.457009764999625e-05,3.5531435327040809e-05,-50.2134908954,-44.3014898927,-46.329780671,-46.0959311748,-44.4938724841,-80.980566919,-75.0685659163,-77.0968566946,-76.8630071984,-75.2609485076
76700584.411621094,76.700584411621,700584.411621,-99415.5883789,-30.7652791355,1.5548615183358869e-05,3.5334608356688807e-05,2.320245448080485e-05,2.4417267989419312e-05,3.0753128910298508e-05,-48.0830828477,-44.5179971798,-46.3446607067,-46.1230293021,-45.1211069129,-78.8483619832,-75.2832763152,-77.1099398421,-76.8883084376,-75.8863860484
76700729.370117188,76.700729370117,700729.370117,-99270.6298828,-30.7634826193,1.4687429687043652e-05,3.2251628561690815e-05,2.3844845451498612e-05,2.3501436988780177e-05,3.516159347486399e-05,-48.3305419947,-44.9144835056,-46.2260548807,-46.289055821,-44.5393145153,-79.094024614,-75.6779661249,-76.9895375,-77.0525384403,-75.3027971346
76700874.328613281,76.700874328613,700874.328613,-99125.6713867,-30.761686475,1.0888725173513483e-05,3.7335327520570215e-05,2.5359829645375348e-05,2.1289204936941148e-05,3.6972416382777031e-05,-49.6302296345,-44.2788003451,-45.9585366815,-46.7184055735,-44.3212216459,-80.3919161095,-75.0404868201,-76.7202231565,-77.4800920484,-75.0829081209
76701019.287109375,76.701019287109,701019.287109,-98980.7128906,-30.7598907023,1.075062986261858e-05,3.4996054014874139e-05,2.5760528835222938e-05,1.9146825326091919e-05,4.7846234157966572e-05,-49.6856609037,-44.5598092183,-45.8904522563,-47.1790322471,-43.2015223863,-80.445551606,-75.3196999205,-76.6503429586,-77.9389229493,-73.9614130886
76701164.245605469,76.701164245605,701164.245605,-98835.7543945,-30.7580953011,1.1198040920910527e-05,3.6840872257306327e-05,2.0523746405687769e-05,2.08227724248472e-05,3.358554946525327e-05,-49.508579498,-44.3367009585,-46.8774336019,-46.8146144732,-44.7384754218,-80.2666747991,-75.0947962596,-77.635528903,-77.5727097743,-75.4965707229
76701309.204101562,76.701309204102,701309.204102,-98690.7958984,-30.7563002713,1.2149904789759723e-05,2.5965941482860239e-05,1.5793110459331792e-05,2.3280051685823404e-05,3.7106517124848781e-05,-49.1542712531,-45.8559592597,-48.015323271,-46.3301605981,-44.3054980729,-79.9105715244,-76.612259531,-78.7716235423,-77.0864608694,-75.0617983442
76701454.162597656,76.701454162598,701454.162598,-98545.8374023,-30.7545056126,1.0336084550604781e-05,2.8870843686755116e-05,1.7803859228967892e-05,1.5922989051906053e-05,3.0114247019211845e-05,-49.8564394675,-45.3954052464,-47.4948584824,-47.979754035,-45.2122799152,-80.6109450801,-76.149910859,-78.2493640951,-78.7342596477,-75.9667855278
76701599.12109375,76.701599121094,701599.121094,-98400.8789062,-30.7527113251,9.4271151925442661e-06,3.5719210510463039e-05,1.9856384087240919e-05,2.241456940098007e-05,4.1130432036174605e-05,-50.2562118612,-44.4709814874,-47.0209983509,-46.4946959981,-43.8583672862,-81.0089231863,-75.2236928125,-77.773709676,-77.2474073231,-74.6110786112
76701744.079589844,76.701744079590,701744.07959,-98255.9204102,-30.7509174084,7.6491326514921203e-06,3.0066786575019412e-05,2.8601886522906066e-05,2.4600741073948353e-05,3.4782450569453824e-05,-51.1638780746,-45.2191298518,-45.4360532074,-46.0905180999,-44.5863982339,-81.914795483,-75.9700472601,-76.1869706157,-76.8414355083,-75.3373156422
76701889.038085938,76.701889038086,701889.038086,-98110.9619141,-30.7491238624,9.2710152685165636e-06,3.4102977150053864e-05,3.3878355412678275e-05,2.1759338166612469e-05,4.029993780912362e-05,-50.3287270368,-44.6720770595,-44.7007768018,-46.623543183,-43.9469562406,-81.0778508992,-75.4212009219,-75.4499006642,-77.3726670454,-74.696080103
76702033.996582031,76.702033996582,702033.996582,-97966.003418,-30.747330687,1.2292372898156318e-05,3.6501908584471381e-05,2.7257630390199388e-05,1.7696241802785759e-05,5.2876498671841139e-05,-49.1036427357,-44.3768442689,-45.6451190174,-47.521189561,-42.7673731029,-79.8509734228,-75.1241749559,-76.3924497044,-78.268520248,-73.5147037899
76702178.955078125,76.702178955078,702178.955078,-97821.0449219,-30.7455378821,1.5244520194334631e-05,4.3464200908168285e-05,2.5001088613959036e-05,2.355715316456419e-05,3.4189634059971215e-05,-48.1688624006,-43.6186830049,-46.0204108058,-46.2787719434,-44.6610554754,-78.9144002827,-74.364220887,-76.7659486879,-77.0243098255,-75.4065933575
76702323.913574219,76.702323913574,702323.913574,-97676.0864258,-30.7437454474,1.3312952610918501e-05,4.2865732927927724e-05,2.4541369322794563e-05,2.3534324626980156e-05,2.5498281462357377e-05,-48.7572561392,-43.6788974621,-46.1010120882,-46.2829826028,-45.9348908924,-79.5010015866,-74.4226429095,-76.8447575356,-77.0267280502,-76.6786363398
76702468.872070312,76.702468872070,702468.87207,-97531.1279297,-30.7419533829,1.0293901717848855e-05,4.4294988508518841e-05,2.7955660451571236e-05,1.5188128136849775e-05,2.9078051372269935e-05,-49.8741998254,-43.5364540665,-45.5353024309,-48.1849574753,-45.3643470052,-80.6161532083,-74.2784074493,-76.2772558138,-78.9269108581,-76.106300388
76702613.830566406,76.702613830566,702613.830566,-97386.1694336,-30.7401616883,1.3003804404093791e-05,3.7054259692560534e-05,2.8959690316107111e-05,1.8731717045048074e-05,3.6391587813725433e-05,-48.8592957154,-44.3116185908,-45.3820608663,-47.2742241115,-44.3899899515,-79.5994574037,-75.0517802791,-76.1222225546,-78.0143857997,-75.1301516398
76702758.7890625,76.702758789062,702758.789062,-97241.2109375,-30.7383703635,1.3535075424272293e-05,3.2379002800395871e-05,2.4903393571183241e-05,1.8166494520389138e-05,4.705826730220251e-05,-48.6853931978,-44.8973653066,-46.0374146781,-47.4072886781,-43.273640677,-79.4237635613,-75.6357356701,-76.7757850417,-78.1456590417,-74.0120110406
76702903.747558594,76.702903747559,702903.747559,-97096.2524414,-30.7365794085,1.5927818923506856e-05,3.7651875416508614e-05,2.9156766615578835e-05,2.1963658666530568e-05,4.1420196254917028e-05,-47.9784369026,-44.2421338699,-45.3526063944,-46.5829531421,-43.8278784769,-78.715016311,-74.9787132783,-76.0891858028,-77.3195325505,-74.5644578853
76703048.706054688,76.703048706055,703048.706055,-96951.2939453,-30.7347888229,1.4628021500919268e-05,3.0907466637120153e-05,2.5536944879960347e-05,2.4040008758040236e-05,3.5557310790485319e-05,-48.3481440999,-45.0993659088,-45.9283106092,-46.1906537845,-44.4907109227,-79.0829329228,-75.8341547317,-76.663099432,-76.9254426074,-75.2254997456
