Frequency_Hz,Frequency_MHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
76700004.577636719,76.700004577637,8.9405912088412357e-06,3.0843082368398895e-05,2.4275832355627928e-05,1.9275151575394405e-05,3.3734792947585474e-05
76700149.536132812,76.700149536133,1.4440721241534584e-05,2.9682261076379606e-05,2.9233114479039217e-05,2.4847410247626954e-05,4.9032488312823263e-05
76700294.494628906,76.700294494629,9.36028048734387e-06,3.1094370366170496e-05,2.4507604529295161e-05,2.4927634815338162e-05,5.5577645750140561e-05
76700439.453125,76.700439453125,9.5203060620605716e-06,3.7140779190241694e-05,2.3282088347516255e-05,2.457009764999625e-05,3.5531435327040809e-05
76700584.411621094,76.700584411621,1.5548615183358869e-05,3.5334608356688807e-05,2.320245448080485e-05,2.4417267989419312e-05,3.0753128910298508e-05
76700729.370117188,76.700729370117,1.4687429687043652e-05,3.2251628561690815e-05,2.3844845451498612e-05,2.3501436988780177e-05,3.516159347486399e-05
76700874.328613281,76.700874328613,1.0888725173513483e-05,3.7335327520570215e-05,2.5359829645375348e-05,2.1289204936941148e-05,3.6972416382777031e-05
76701019.287109375,76.701019287109,1.075062986261858e-05,3.4996054014874139e-05,2.5760528835222938e-05,1.9146825326091919e-05,4.7846234157966572e-05
76701164.245605469,76.701164245605,1.1198040920910527e-05,3.6840872257306327e-05,2.0523746405687769e-05,2.08227724248472e-05,3.358554946525327e-05
76701309.204101562,76.701309204102,1.2149904789759723e-05,2.5965941482860239e-05,1.5793110459331792e-05,2.3280051685823404e-05,3.7106517124848781e-05
76701454.162597656,76.701454162598,1.0336084550604781e-05,2.8870843686755116e-05,1.7803859228967892e-05,1.5922989051906053e-05,3.0114247019211845e-05
76701599.12109375,76.701599121094,9.4271151925442661e-06,3.5719210510463039e-05,1.9856384087240919e-05,2.241456940098007e-05,4.1130432036174605e-05
76701744.079589844,76.701744079590,7.6491326514921203e-06,3.0066786575019412e-05,2.8601886522906066e-05,2.4600741073948353e-05,3.4782450569453824e-05
76701889.038085938,76.701889038086,9.2710152685165636e-06,3.4102977150053864e-05,3.3878355412678275e-05,2.1759338166612469e-05,4.029993780912362e-05
76702033.996582031,76.702033996582,1.2292372898156318e-05,3.6501908584471381e-05,2.7257630390199388e-05,1.7696241802785759e-05,5.2876498671841139e-05
76702178.955078125,76.702178955078,1.5244520194334631e-05,4.3464200908168285e-05,2.5001088613959036e-05,2.355715316456419e-05,3.4189634059971215e-05
76702323.913574219,76.702323913574,1.3312952610918501e-05,4.2865732927927724e-05,2.4541369322794563e-05,2.3534324626980156e-05,2.5498281462357377e-05
76702468.872070312,76.702468872070,1.0293901717848855e-05,4.4294988508518841e-05,2.7955660451571236e-05,1.5188128136849775e-05,2.9078051372269935e-05
76702613.830566406,76.702613830566,1.3003804404093791e-05,3.7054259692560534e-05,2.8959690316107111e-05,1.8731717045048074e-05,3.6391587813725433e-05
76702758.7890625,76.702758789062,1.3535075424272293e-05,3.2379002800395871e-05,2.4903393571183241e-05,1.8166494520389138e-05,4.705826730220251e-05
76702903.747558594,76.702903747559,1.5927818923506856e-05,3.7651875416508614e-05,2.9156766615578835e-05,2.1963658666530568e-05,4.1420196254917028e-05
76703048.706054688,76.703048706055,1.4628021500919268e-05,3.0907466637120153e-05,2.5536944879960347e-05,2.4040008758040236e-05,3.5557310790485319e-05
76703193.664550781,76.703193664551,1.1084275708895821e-05,2.2397543108750927e-05,2.5681901380140792e-05,2.4159086496908154e-05,4.7552708967332339e-05
