Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-99876.4038086,75900123.596191406,8,-47.6840411355
-99731.4453125,75900268.5546875,8,-47.6966567374
-99586.4868164,75900413.513183594,8,-47.7092906895
-99441.5283203,75900558.471679688,8,-47.7219430451
-99296.5698242,75900703.430175781,8,-47.7346138582
-99151.6113281,75900848.388671875,8,-47.7473031825
-99006.652832,75900993.347167969,8,-47.7600110722
-98861.6943359,75901138.305664062,8,-47.7727375817
-98716.7358398,75901283.264160156,8,-47.7854827657
-98571.7773438,75901428.22265625,8,-47.7982466791
-98426.8188477,75901573.181152344,8,-47.811029377
-98281.8603516,75901718.139648438,8,-47.8238309147
-98136.9018555,75901863.098144531,8,-47.836651348
-97991.9433594,75902008.056640625,8,-47.8494907325
-97846.9848633,75902153.015136719,8,-47.8623491245
-97702.0263672,75902297.973632812,8,-47.8752265803
-97557.0678711,75902442.932128906,8,-47.8881231565
-97412.109375,75902587.890625,8,-47.90103891
-97267.1508789,75902732.849121094,8,-47.9139738979
-97122.1923828,75902877.807617188,8,-47.9269281775
-96977.2338867,75903022.766113281,8,-47.9399018066
-96832.2753906,75903167.724609375,8,-47.9528948429
-96687.3168945,75903312.683105469,8,-47.9659073447
-96542.3583984,75903457.641601562,8,-47.9789393704
-96397.3999023,75903602.600097656,8,-47.9919909785
-96252.4414062,75903747.55859375,8,-48.0050622282
-96107.4829102,75903892.517089844,8,-48.0181531784
-95962.5244141,75904037.475585938,8,-48.0312638889
-95817.565918,75904182.434082031,8,-48.0443944192
-95672.6074219,75904327.392578125,8,-48.0575448294
-95527.6489258,75904472.351074219,8,-48.0707151798
-95382.6904297,75904617.309570312,8,-48.0839055309
-95237.7319336,75904762.268066406,8,-48.0971159437
-95092.7734375,75904907.2265625,8,-48.1103464791
-94947.8149414,75905052.185058594,8,-48.1235971986
-94802.8564453,75905197.143554688,8,-48.136868164
-94657.8979492,75905342.102050781,8,-48.150159437
-94512.9394531,75905487.060546875,8,-48.16347108
-94367.980957,75905632.019042969,8,-48.1768031556
-94223.0224609,75905776.977539062,8,-48.1901557265
-94078.0639648,75905921.936035156,8,-48.2035288558
-93933.1054688,75906066.89453125,8,-48.216922607
-93788.1469727,75906211.853027344,8,-48.2303370437
-93643.1884766,75906356.811523438,8,-48.24377223
-93498.2299805,75906501.770019531,8,-48.2572282301
-93353.2714844,75906646.728515625,8,-48.2707051086
-93208.3129883,75906791.687011719,8,-48.2842029304
-93063.3544922,75906936.645507812,8,-48.2977217607
-92918.3959961,75907081.604003906,8,-48.311261665
-92773.4375,75907226.5625,8,-48.3248227091
-92628.4790039,75907371.520996094,8,-48.3384049591
-92483.5205078,75907516.479492188,8,-48.3520084815
-92338.5620117,75907661.437988281,8,-48.365633343
-92193.6035156,75907806.396484375,8,-48.3792796105
-92048.6450195,75907951.354980469,8,-48.3929473516
-91903.6865234,75908096.313476562,8,-48.4066366338
-91758.7280273,75908241.271972656,8,-48.4203475253
-91613.7695312,75908386.23046875,8,-48.4340800942
-91468.8110352,75908531.188964844,8,-48.4478344093
-91323.8525391,75908676.147460938,8,-48.4616105396
-91178.894043,75908821.105957031,8,-48.4754085543
-91033.9355469,75908966.064453125,8,-48.4892285231
-90888.9770508,75909111.022949219,8,-48.503070516
-90744.0185547,75909255.981445312,8,-48.5169346033
-90599.0600586,75909400.939941406,8,-48.5308208556
-90454.1015625,75909545.8984375,8,-48.5447293439
-90309.1430664,75909690.856933594,8,-48.5586601396
-90164.1845703,75909835.815429688,8,-48.5726133142
-90019.2260742,75909980.773925781,8,-48.5865889399
-89874.2675781,75910125.732421875,8,-48.600587089
-89729.309082,75910270.690917969,8,-48.6146078341
-89584.3505859,75910415.649414062,8,-48.6286512485
-89439.3920898,75910560.607910156,8,-48.6427174054
-89294.4335938,75910705.56640625,8,-48.6568063787
