Frequency_Hz,Frequency_MHz,Offset_Hz,TwoTapFirRejection_dB,20260515_092941_after_fir_dB,20260526_141535_after_fir_dB,20260526_142458_after_fir_dB
75900123.596191406,75.900123596191,-99876.4038086,-47.6840411355,-97.1997987475,-90.7380697992,-110.532047755
75900268.5546875,75.900268554688,-99731.4453125,-47.6966567374,-96.8902760857,-90.9103739081,-110.740859708
75900413.513183594,75.900413513184,-99586.4868164,-47.7092906895,-96.4888538058,-90.2445155111,-110.478468873
75900558.471679688,75.900558471680,-99441.5283203,-47.7219430451,-96.9227744665,-90.3995867176,-110.159641796
75900703.430175781,75.900703430176,-99296.5698242,-47.7346138582,-96.7564010952,-91.221870672,-110.433450308
75900848.388671875,75.900848388672,-99151.6113281,-47.7473031825,-98.4204628328,-90.8376986658,-111.006547206
75900993.347167969,75.900993347168,-99006.652832,-47.7600110722,-98.1618454922,-90.151171594,-109.748766901
75901138.305664062,75.901138305664,-98861.6943359,-47.7727375817,-96.747870887,-90.4529122563,-109.573274502
75901283.264160156,75.901283264160,-98716.7358398,-47.7854827657,-97.3423783535,-91.9420383278,-110.927767511
75901428.22265625,75.901428222656,-98571.7773438,-47.7982466791,-98.4735379201,-90.6557301696,-110.346606199
75901573.181152344,75.901573181152,-98426.8188477,-47.811029377,-96.5035065153,-89.9201109643,-109.948723873
75901718.139648438,75.901718139648,-98281.8603516,-47.8238309147,-96.8499669877,-90.2163365739,-109.922655738
75901863.098144531,75.901863098145,-98136.9018555,-47.836651348,-97.0584352618,-90.8971142532,-111.403091772
75902008.056640625,75.902008056641,-97991.9433594,-47.8494907325,-96.8363418488,-91.2831885033,-111.107255701
75902153.015136719,75.902153015137,-97846.9848633,-47.8623491245,-97.4402287447,-90.7826674579,-110.663308226
75902297.973632812,75.902297973633,-97702.0263672,-47.8752265803,-97.0336271749,-90.0048343877,-109.966275525
75902442.932128906,75.902442932129,-97557.0678711,-47.8881231565,-96.370203927,-91.0786564639,-109.764746404
75902587.890625,75.902587890625,-97412.109375,-47.90103891,-97.294991985,-90.6245457317,-110.484061186
75902732.849121094,75.902732849121,-97267.1508789,-47.9139738979,-97.8070607966,-90.7808666371,-110.642770653
75902877.807617188,75.902877807617,-97122.1923828,-47.9269281775,-97.4837847489,-91.177749039,-111.283144477
75903022.766113281,75.903022766113,-96977.2338867,-47.9399018066,-97.1299344849,-91.4235939631,-110.891634995
75903167.724609375,75.903167724609,-96832.2753906,-47.9528948429,-96.7585615794,-90.9080807237,-111.104128867
75903312.683105469,75.903312683105,-96687.3168945,-47.9659073447,-97.5118740129,-90.7326338783,-110.589248086
