Frequency_Hz,Frequency_MHz,20260515_092941,20260526_141535,20260526_142458
75900123.596191406,75.900123596191,1.1179547841653359e-05,4.9499080741859835e-05,5.1903821909905242e-07
75900268.5546875,75.900268554688,1.2040320989549485e-05,4.7712072635410876e-05,4.9611196691846694e-07
75900413.513183594,75.900413513184,1.3244747655806361e-05,5.5779872577180388e-05,5.2854525906025195e-07
75900558.471679688,75.900558471680,1.2020342929280535e-05,5.3980342123684005e-05,5.7046647222915811e-07
75900703.430175781,75.900703430176,1.2526255801971466e-05,4.479961880156142e-05,5.3717569578471223e-07
75900848.388671875,75.900848388672,8.5641454578222428e-06,4.9086317444165685e-05,4.7214522044955636e-07
75900993.347167969,75.900993347168,9.1162569568790402e-06,5.7661236043718807e-05,6.325930513392119e-07
75901138.305664062,75.901138305664,1.2661544027162625e-05,5.3948892367381458e-05,6.6061177119755329e-07
75901283.264160156,75.901283264160,1.1074151006445801e-05,3.8401168869610129e-05,4.8503326571522444e-07
75901428.22265625,75.901428222656,8.5599430621082285e-06,5.1790684496728148e-05,5.5611428119643222e-07
75901573.181152344,75.901573181152,1.3513015850022574e-05,6.1530697935977853e-05,6.1126643691709653e-07
75901718.139648438,75.901718139648,1.2513718832570715e-05,5.7643379434147266e-05,6.1676187165424119e-07
75901863.098144531,75.901863098145,1.1962490575076267e-05,4.9425800227495022e-05,4.3990202139731239e-07
75902008.056640625,75.902008056641,1.2627427635827675e-05,4.5355527564373984e-05,4.7230604399293418e-07
75902153.015136719,75.902153015137,1.102077251428057e-05,5.1046758185037199e-05,5.2469157390354737e-07
75902297.973632812,75.902297973633,1.2138357955892667e-05,6.1240569294474548e-05,6.1786714957512891e-07
75902442.932128906,75.902442932129,1.4183777926124203e-05,4.7967454167465588e-05,6.4913895973729965e-07
75902587.890625,75.902587890625,1.1497533734668097e-05,5.3413288597233823e-05,5.5169337963579877e-07
75902732.849121094,75.902732849121,1.0249231675718321e-05,5.1678598356510467e-05,5.3348268037381122e-07
75902877.807617188,75.902877807617,1.1074250495355244e-05,4.7306183693202153e-05,4.6171966302611718e-07
75903022.766113281,75.903022766113,1.2050268731769589e-05,4.4836405096086601e-05,5.0678841806290001e-07
75903167.724609375,75.903167724609,1.3165377800384781e-05,5.0638567543516265e-05,4.8403481216362571e-07
75903312.683105469,75.903312683105,1.1102053943419266e-05,5.2884371410350124e-05,5.4659534138394767e-07
75903457.641601562,75.903457641602,1.2735410827881935e-05,6.3350729468331844e-05,4.1195490890967982e-07
75903602.600097656,75.903602600098,1.5527687010380346e-05,6.6843243865120775e-05,4.1151919114090314e-07
75903747.55859375,75.903747558594,1.3660265123032557e-05,6.2606663016813208e-05,5.4790224503156497e-07
75903892.517089844,75.903892517090,1.0411522164054355e-05,4.9042429927820262e-05,5.3216387178427901e-07
75904037.475585938,75.904037475586,8.6248548682285324e-06,5.4396248857535719e-05,6.0528140518879628e-07
75904182.434082031,75.904182434082,9.0530801997733051e-06,5.5058207199489778e-05,5.8319988793955234e-07
75904327.392578125,75.904327392578,9.6730180838639372e-06,4.5002594503022603e-05,4.8255759755234729e-07
