run_name,run_timestamp,description,sample,tags,laser_nm,detector,scan_velocity_mm_s,motor1,motor2,shot_noise_urad2_rtHz,raw_files,raw_total_gb,modes,fft_enabled,fft_applied,artifact_count,measurement_note,folder
20260526_162112,2026-05-26T16:25:33,"highpass filter, without SHG, manual",Vacuum,Alignment,1600,PDB230C (InGaAs),0.1,159,-656,0.79,2,16.376,"raw_fft_candidate, raw_std",True,False,3,"Vacuum; highpass filter, without SHG, manual; tags: Alignment; highpass filter; 1600 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 159; motor2 -656; shot noise 0.79 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260526_162112
20260526_150209,2026-05-26T15:06:35,"highpass filter, without SHG, manual mode",Vacuum,Alignment,1600,PDB230C (InGaAs),0.1,-162,-282,1.12,2,16.376,"low_frequency, raw_fft_candidate, raw_std",True,True,5,"Vacuum; highpass filter, without SHG, manual mode; tags: Alignment; highpass filter; 1600 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 -162; motor2 -282; shot noise 1.12 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260526_150209
20260526_143329,2026-05-26T14:39:27,"highpass filter, without SHG, manual mode",Vacuum,Alignment,1560,PDB230C (InGaAs),0.1,-106,-221,1.12,2,16.376,"raw_fft_candidate, raw_std",True,False,3,"Vacuum; highpass filter, without SHG, manual mode; tags: Alignment; highpass filter; 1560 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 -106; motor2 -221; shot noise 1.12 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260526_143329
20260526_143004,2026-05-26T14:32:04,"highpass filter, without SHG, manual mode",Vacuum,Alignment,1560,PDB230C (InGaAs),0.1,202,-149,1.2,2,7.5,"raw_fft_candidate, raw_std",True,False,3,"Vacuum; highpass filter, without SHG, manual mode; tags: Alignment; highpass filter; 1560 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 202; motor2 -149; shot noise 1.2 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 7.50 GB",D:\Quantum Squeezing Project\DataFiles\20260526_143004
20260526_142458,2026-05-26T14:29:31,"highpass filter, without SHG, manual mode",Vacuum,Alignment,1560,PDB230C (InGaAs),0.1,146,-53,1.16,2,16.376,"low_frequency, raw_fft_candidate, raw_std",True,True,5,"Vacuum; highpass filter, without SHG, manual mode; tags: Alignment; highpass filter; 1560 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 146; motor2 -53; shot noise 1.16 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260526_142458
20260526_141535,2026-05-26T14:22:04,"highpass filter, without SHG, automatic mode",Vacuum,Alignment,1560,PDB230C (InGaAs),0.1,96,-7,1.11,2,16.313,"low_frequency, raw_fft_candidate, raw_std",True,True,5,"Vacuum; highpass filter, without SHG, automatic mode; tags: Alignment; highpass filter; 1560 nm; detector PDB230C (InGaAs); scan rate 0.1 mm/s; motor1 96; motor2 -7; shot noise 1.11 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260526_141535
20260522_135524,2026-05-22T14:01:15,highpass filter,Vacuum,Alignment,780,Si,1.0,-2808,1006,3.8,2,16.376,"low_frequency, raw_fft_candidate, raw_std",True,True,5,"Vacuum; highpass filter; tags: Alignment; 780 nm; detector Si; scan rate 1 mm/s; motor1 -2808; motor2 1006; shot noise 3.8 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260522_135524
20260522_135429,2026-05-22T13:54:31,highpass filter,Vacuum,Alignment,780,Si,1,,,,2,0.0,raw_fft_candidate,True,False,1,"Vacuum; highpass filter; tags: Alignment; 780 nm; detector Si; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 0.00 GB",D:\Quantum Squeezing Project\DataFiles\20260522_135429
20260521_162959,2026-05-21T16:36:27,highpass filter,Vacuum,Alignment,780,Si,1.0,-2888,1100,1.4,2,16.313,"low_frequency, raw_fft_candidate, raw_std",True,True,5,"Vacuum; highpass filter; tags: Alignment; 780 nm; detector Si; scan rate 1 mm/s; motor1 -2888; motor2 1100; shot noise 1.4 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260521_162959
20260515_140509,2026-05-15T14:11:23,"scanning OPO @800 nm, 0.7 urad^2/vHz",Vacuum,Alignment,800.0,PDB230C (InGaAs),1.0,-714,1603,0.7,2,16.376,"high_frequency, low_frequency, raw_fft_candidate, raw_std",True,True,7,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; detector PDB230C (InGaAs); scan range 5 mm; scan rate 1 mm/s; motor1 -714; motor2 1603; shot noise 0.7 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_140509
20260515_134951,2026-05-15T13:54:12,"single point position OPO @800 nm, 0.66 urad^2/vHz",Vacuum,Alignment,800.0,PDB230C (InGaAs),1.0,180,705,0.66,2,16.376,"high_frequency, low_frequency, raw_fft_candidate, raw_std",True,True,7,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 180; motor2 705; shot noise 0.66 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134951
20260515_134613,2026-05-15T13:46:45,single point position,Vacuum,Alignment,800.0,PDB230C (InGaAs),1.0,180,345,0.27,2,0.688,"raw_fft_candidate, raw_std",True,False,3,"Vacuum; single point position; tags: Alignment; single-point measurement; 800 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 180; motor2 345; shot noise 0.27 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 0.69 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134613
20260515_133100,2026-05-15T13:41:53,"single point position flint2 @1030 nm, 1.65 urad^2/vHz",Vacuum,Alignment,1030.0,PDB230C (InGaAs),1.0,180,345,1.65,2,16.376,"high_frequency, low_frequency, raw_fft_candidate, raw_std",True,True,7,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 180; motor2 345; shot noise 1.65 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_133100
20260515_131246,2026-05-15T13:26:06,single point position,Vacuum,Dark Noise,1030,PDB230C (InGaAs),1.0,176,337,31226765799.256504,2,16.313,"raw_fft_candidate, raw_std",False,False,3,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 176; motor2 337; shot noise 3.12268e+10 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260515_131246
20260515_131116,2026-05-15T13:12:43,single point position,Vacuum,Dark Noise,1030,PDB230C (InGaAs),1.0,66,230,30855018587.360596,2,4.438,"raw_fft_candidate, raw_std",False,False,3,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 66; motor2 230; shot noise 3.0855e+10 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 4.44 GB",D:\Quantum Squeezing Project\DataFiles\20260515_131116
20260515_130927,2026-05-15T13:10:40,single point position,Vacuum,Dark Noise,1030,PDB230C (InGaAs),1,62,216,,2,2.688,"raw_fft_candidate, raw_std",False,False,3,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 62; motor2 216; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 2.69 GB",D:\Quantum Squeezing Project\DataFiles\20260515_130927
20260515_130634,2026-05-15T13:09:19,single point position,Vacuum,Dark Noise,1030,PDB230C (InGaAs),1.0,62,216,31040892193.30855,2,9.501,"raw_fft_candidate, raw_std",False,False,3,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 62; motor2 216; shot noise 3.10409e+10 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 9.50 GB",D:\Quantum Squeezing Project\DataFiles\20260515_130634
20260515_092941,2026-05-15T09:33:54,Dark noise,Vacuum,Dark Noise,1030,PDB230C (InGaAs),1.0,289,496,845751672862453.6,2,16.376,"high_frequency, low_frequency, raw_fft_candidate, raw_std",True,True,7,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; detector PDB230C (InGaAs); scan rate 1 mm/s; motor1 289; motor2 496; shot noise 8.45752e+14 urad^2/rtHz; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_092941
