run_name,run_timestamp,sample,description,tags,measurement_note,raw_file_count,raw_total_gb,modes,artifact_count,run_folder
20260522_135524,2026-05-22T14:01:15,Vacuum,highpass filter,Alignment,"Vacuum; highpass filter; tags: Alignment; 780 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",2,16.376,"low_frequency, raw_std",4,D:\Quantum Squeezing Project\DataFiles\20260522_135524
20260521_162959,2026-05-21T16:36:27,Vacuum,highpass filter,Alignment,"Vacuum; highpass filter; tags: Alignment; 780 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",2,16.313,"low_frequency, raw_std",4,D:\Quantum Squeezing Project\DataFiles\20260521_162959
20260515_140509,2026-05-15T14:11:23,Vacuum,"scanning OPO @800 nm, 0.7 urad^2/vHz",Alignment,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",2,16.376,"high_frequency, low_frequency, raw_std",6,D:\Quantum Squeezing Project\DataFiles\20260515_140509
20260515_134951,2026-05-15T13:54:12,Vacuum,"single point position OPO @800 nm, 0.66 urad^2/vHz",Alignment,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",2,16.376,"high_frequency, low_frequency, raw_std",6,D:\Quantum Squeezing Project\DataFiles\20260515_134951
20260515_134613,2026-05-15T13:46:45,Vacuum,single point position,Alignment,"Vacuum; single point position; tags: Alignment; single-point measurement; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 0.69 GB",2,0.688,raw_std,2,D:\Quantum Squeezing Project\DataFiles\20260515_134613
20260515_133100,2026-05-15T13:41:53,Vacuum,"single point position flint2 @1030 nm, 1.65 urad^2/vHz",Alignment,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",2,16.376,"high_frequency, low_frequency, raw_std",6,D:\Quantum Squeezing Project\DataFiles\20260515_133100
20260515_131246,2026-05-15T13:26:06,Vacuum,single point position,Dark Noise,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",2,16.313,raw_std,2,D:\Quantum Squeezing Project\DataFiles\20260515_131246
20260515_131116,2026-05-15T13:12:43,Vacuum,single point position,Dark Noise,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 4.44 GB",2,4.438,raw_std,2,D:\Quantum Squeezing Project\DataFiles\20260515_131116
20260515_130927,2026-05-15T13:10:40,Vacuum,single point position,Dark Noise,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 2.69 GB",2,2.688,raw_std,2,D:\Quantum Squeezing Project\DataFiles\20260515_130927
20260515_130634,2026-05-15T13:09:19,Vacuum,single point position,Dark Noise,"Vacuum; single point position; tags: Dark Noise; dark-noise reference; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 9.50 GB",2,9.501,raw_std,2,D:\Quantum Squeezing Project\DataFiles\20260515_130634
20260515_092941,2026-05-15T09:33:54,Vacuum,Dark noise,Dark Noise,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",2,16.376,"high_frequency, low_frequency, raw_std",6,D:\Quantum Squeezing Project\DataFiles\20260515_092941
